"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Shrimp","Apex Gaming","Jungle",46,"46%",,97,131,301,3,"70.7%","17.2%","22.2%","35%",109,180,4.1,4.3,"13.7%",339,"17.7%",215,"19.2%",0.65,0.48
"Slooshi","Phoenix1","ADC",5,"20%",,6,20,18,1.2,"66.7%","16.7%","25.0%","0%",-526,-219,-14,8.5,"32.1%",296,"19.0%",258,"25.5%",0.31,0.07
"Slooshi","Phoenix1","Middle",5,"0%",,15,17,12,1.6,"64.3%","35.7%","21.3%","40%",-217,-53,-6.6,7.8,"27.1%",438,"27.8%",226,"23.3%",0.41,0.12
"Smoothie","Cloud9","Support",28,"68%",,13,52,279,5.6,"72.8%","3.2%","21.4%","29%",-2,-2,0.1,0.7,"2.2%",106,"5.8%",129,"11.0%",1.3,0.28
"Sneaky","Cloud9","ADC",44,"64%",,187,72,268,6.3,"75.1%","30.9%","17.9%","30%",33,73,0.7,8.4,"28.5%",516,"27.6%",276,"24.0%",0.35,0.24
"Stixxay","Counter Logic Gaming","ADC",46,"54%",,150,110,207,3.2,"64.6%","27.1%","18.9%","17%",65,33,5,8.8,"31.1%",552,"27.6%",275,"24.9%",0.4,0.26
"Svenskeren","TSM","Jungle",41,"85%",,97,84,302,4.8,"66.0%","16.0%","23.3%","56%",63,109,0,4.1,"12.9%",368,"16.9%",233,"18.9%",0.81,0.37
"WildTurtle","Immortals","ADC",43,"77%",,192,94,245,4.6,"65.6%","28.8%","18.4%","16%",-100,1,-2.1,8.6,"29.2%",577,"24.4%",301,"23.9%",0.39,0.17
"Xmithie","Counter Logic Gaming","Jungle",46,"54%",,96,105,315,3.9,"74.3%","17.4%","18.0%","37%",-25,-60,-0.2,4.1,"14.4%",339,"17.3%",215,"19.6%",0.78,0.48
"Xpecial","Apex Gaming","Support",46,"46%",,23,127,397,3.3,"74.6%","4.1%","21.5%","24%",25,-92,3.7,1.1,"3.9%",102,"5.4%",131,"11.4%",1.34,0.26
"Zentinel","Phoenix1","Jungle",14,"14%",,16,38,55,1.9,"68.3%","15.4%","18.2%","29%",-273,-267,-5.5,3.4,"11.5%",226,"15.6%",177,"17.9%",0.7,0.38
"zig","Phoenix1","Top",39,"31%",,63,101,182,2.4,"66.6%","17.1%","19.5%","18%",-185,-231,-7.8,6.7,"25.0%",291,"17.0%",214,"20.5%",0.54,0.13
