"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Immortals","Support",43,"77%",,24,83,458,5.8,"72.4%","3.6%","16.2%","16%",54,-46,-3.4,0.6,"2.2%",172,"7.3%",150,"11.9%",1.47,0.25
"aphromoo","Counter Logic Gaming","Support",46,"54%",,28,117,343,3.2,"67.1%","5.1%","20.1%","24%",-75,-30,-2.1,0.6,"2.5%",127,"6.4%",126,"11.3%",1.06,0.3
"Apollo","Apex Gaming","ADC",46,"46%",,119,95,272,4.1,"69.4%","21.1%","16.1%","24%",-28,-52,-4.4,7.4,"24.2%",467,"24.1%",242,"21.6%",0.41,0.22
"Armao","Echo Fox","Jungle",2,"0%",,0,3,5,1.7,"62.5%","0.0%","18.8%","0%",-377,-822,-7.5,3.5,"10.3%",134,"14.1%",157,"17.4%",0.7,0.28
"Benji","Team EnVyUs","ADC",42,"40%",,159,75,200,4.8,"74.6%","33.1%","13.8%","12%",-114,-213,-2.9,8.6,"29.1%",515,"25.2%",276,"24.5%",0.28,0.2
"Big","Echo Fox","Support",42,"19%",,16,111,223,2.2,"71.3%","4.8%","19.8%","10%",-40,57,-2.4,0.6,"2.6%",141,"7.9%",112,"11.2%",1.26,0.34
"Biofrost","TSM","Support",41,"85%",,27,55,431,8.3,"75.7%","4.5%","15.2%","44%",41,134,-1,0.8,"3.3%",155,"7.1%",151,"12.2%",1.13,0.35
"Bjergsen","TSM","Middle",41,"85%",,166,62,275,7.1,"72.9%","27.4%","17.2%","32%",189,199,4.4,8.8,"27.6%",628,"28.9%",290,"23.2%",0.39,0.12
"Brandini","Phoenix1","Top",7,"43%",,12,17,46,3.4,"73.4%","15.2%","19.3%","29%",-39,142,-8.4,7.6,"26.2%",274,"15.1%",240,"21.2%",0.57,0.34
"Bunny FuFuu","Cloud9","Support",16,"56%",,7,27,141,5.5,"72.2%","3.4%","17.0%","38%",1,54,2.6,0.8,"2.8%",120,"6.6%",126,"11.0%",1.34,0.33
"Dardoch","Team Liquid","Jungle",40,"55%",,128,107,247,3.5,"75.0%","25.6%","22.8%","38%",14,30,0.7,4.5,"15.6%",429,"21.6%",236,"21.4%",0.65,0.41
"Darshan","Counter Logic Gaming","Top",46,"54%",,132,132,174,2.3,"55.3%","23.9%","22.7%","22%",147,236,3.3,6.5,"23.6%",400,"20.0%",228,"20.7%",0.49,0.12
"Doublelift","TSM","ADC",41,"85%",,193,71,236,6,"70.9%","31.9%","19.7%","39%",315,143,7.1,8.7,"30.0%",562,"25.5%",309,"24.9%",0.47,0.26
"fabbbyyy","Team Liquid","ADC",34,"56%",,73,67,240,4.7,"70.8%","16.5%","17.4%","35%",-13,21,-0.2,7.2,"23.5%",373,"18.8%",235,"21.1%",0.35,0.16
"Fenix","Team Liquid","Middle",43,"51%",,166,92,210,4.1,"71.5%","31.6%","17.8%","23%",88,55,5.7,9.1,"30.7%",643,"31.9%",273,"24.5%",0.32,0.08
"Froggen","Echo Fox","Middle",42,"19%",,125,94,130,2.7,"76.1%","37.3%","16.7%","14%",-79,-28,0.5,8.7,"29.4%",617,"35.3%",254,"25.6%",0.41,0.15
"Galen","Team Liquid","Jungle",3,"0%",,3,10,13,1.6,"61.5%","11.5%","21.3%","33%",7,-201,-2.7,4,"15.5%",286,"16.7%",172,"18.5%",0.83,0.41
"Gate","Phoenix1","Support",46,"33%",,28,153,292,2.1,"71.6%","6.3%","25.3%","33%",-14,-29,1.1,1,"4.1%",162,"9.6%",126,"11.7%",1.31,0.3
"GBM","NRG Esports","Middle",43,"33%",,135,133,170,2.3,"68.8%","30.5%","23.7%","19%",-132,-72,-6.7,7.9,"27.3%",595,"30.4%",238,"23.3%",0.27,0.13
"Hakuho","Team EnVyUs","Support",42,"40%",,27,107,334,3.4,"75.1%","5.6%","19.7%","21%",66,62,1.7,1,"3.8%",220,"11.0%",140,"12.3%",1.17,0.33
"Hard","Echo Fox","Jungle",33,"21%",,30,80,135,2.1,"60.2%","10.9%","18.6%","24%",-298,-487,-6.5,3.4,"11.5%",229,"12.9%",168,"17.0%",0.76,0.51
"Hauntzer","TSM","Top",41,"85%",,122,89,252,4.2,"61.8%","20.2%","24.7%","27%",97,312,7.8,7.5,"26.2%",476,"21.6%",261,"20.9%",0.53,0.11
"huhi","Counter Logic Gaming","Middle",46,"54%",,147,118,225,3.2,"67.3%","26.6%","20.3%","26%",-170,-38,-4.9,8.4,"28.4%",575,"28.7%",258,"23.5%",0.49,0.17
"Huni","Immortals","Top",43,"77%",,167,147,266,2.9,"65.0%","25.1%","28.8%","26%",184,156,5.3,7.5,"27.1%",557,"23.7%",277,"21.9%",0.46,0.11
"Impact","Cloud9","Top",44,"64%",,102,98,285,3.9,"63.9%","16.8%","24.4%","25%",-19,22,-0.1,6.8,"23.9%",361,"19.7%",234,"20.5%",0.48,0.12
"Inori","Phoenix1","Jungle",32,"41%",,90,72,168,3.6,"75.2%","26.2%","18.2%","41%",0,-51,-1.9,3.9,"12.8%",321,"17.8%",209,"19.3%",0.69,0.28
"Jensen","Cloud9","Middle",44,"64%",,207,90,222,4.8,"70.8%","34.2%","22.4%","25%",111,32,2.7,9.5,"32.3%",579,"31.1%",299,"25.9%",0.36,0.16
"Keane","Apex Gaming","Middle",46,"46%",,166,91,244,4.5,"72.8%","29.5%","15.4%","15%",-28,-43,-0.6,8.8,"28.9%",594,"30.7%",272,"24.2%",0.37,0.11
"Keith","Echo Fox","ADC",42,"19%",,77,109,136,2,"63.6%","23.0%","19.4%","10%",-156,-199,-3.3,7.9,"27.7%",433,"24.4%",227,"22.9%",0.28,0.2
"Kez","Echo Fox","Jungle",7,"14%",,6,27,30,1.3,"67.9%","11.3%","23.1%","29%",-361,-510,-7.9,3.5,"11.8%",283,"17.1%",182,"18.2%",0.89,0.43
"kfo","Echo Fox","Top",42,"19%",,81,138,93,1.3,"51.9%","24.2%","24.6%","17%",-169,-206,-0.6,7.5,"28.8%",333,"18.8%",227,"23.1%",0.49,0.13
"KiWiKiD","NRG Esports","Support",43,"33%",,25,124,295,2.6,"72.2%","5.6%","22.1%","33%",-2,-70,1.1,0.9,"3.9%",188,"9.5%",125,"11.8%",0.99,0.26
"Lourlo","Team Liquid","Top",43,"51%",,109,91,215,3.6,"61.6%","20.7%","17.6%","21%",-32,-148,-1.5,7,"25.9%",343,"17.5%",234,"21.2%",0.4,0.1
"Mash","Phoenix1","ADC",41,"34%",,125,80,171,3.7,"72.0%","30.4%","15.2%","34%",31,31,0.6,9.3,"33.1%",455,"27.0%",284,"26.6%",0.46,0.4
"Matt Elento","Team Liquid","Support",43,"51%",,25,128,355,3,"72.2%","4.8%","24.8%","33%",-49,14,-0.1,0.8,"3.1%",168,"8.8%",124,"11.1%",1.33,0.32
"Meteos","Cloud9","Jungle",44,"64%",,90,63,329,6.7,"69.1%","14.9%","15.7%","43%",41,51,1,4,"12.8%",278,"15.5%",214,"18.7%",0.76,0.52
"Ninja","Team EnVyUs","Middle",42,"40%",,110,119,223,2.8,"69.2%","22.9%","21.9%","29%",0,11,0.9,8.4,"27.3%",530,"26.3%",250,"22.5%",0.46,0.12
"Ohq","NRG Esports","ADC",43,"33%",,123,93,174,3.2,"67.0%","27.8%","16.5%","26%",18,114,0.8,8.1,"29.3%",474,"23.4%",253,"24.5%",0.33,0.14
"Piglet","Team Liquid","ADC",9,"33%",,22,21,27,2.3,"58.3%","26.2%","16.2%","22%",61,366,2.2,8.7,"30.0%",519,"26.9%",262,"24.9%",0.47,0.19
"Pirean","Phoenix1","Middle",41,"37%",,92,107,205,2.8,"73.3%","22.7%","20.4%","34%",-90,-56,-2.8,7.9,"25.2%",531,"30.8%",235,"22.2%",0.46,0.26
"Pobelter","Immortals","Middle",43,"77%",,173,98,308,4.9,"72.2%","26.0%","19.2%","23%",149,-41,2.1,8.5,"27.3%",657,"28.3%",287,"22.8%",0.39,0.17
"Procxin","Team EnVyUs","Jungle",42,"40%",,99,113,264,3.2,"75.5%","20.6%","20.8%","31%",-37,26,-1,4.2,"14.2%",365,"18.4%",220,"19.7%",0.72,0.46
"Quas","NRG Esports","Top",43,"33%",,80,146,200,1.9,"63.2%","18.1%","26.0%","26%",42,-23,-2.7,6.6,"24.4%",365,"19.0%",211,"20.7%",0.44,0.11
"Reignover","Immortals","Jungle",43,"77%",,110,89,380,5.5,"73.6%","16.5%","17.4%","35%",241,400,5.7,4.5,"14.2%",374,"16.3%",246,"19.6%",0.83,0.47
"Rey","Apex Gaming","Top",46,"46%",,158,147,254,2.8,"73.2%","28.1%","24.9%","30%",-36,1,-0.3,7.7,"29.2%",431,"22.1%",269,"23.7%",0.51,0.13
"Santorin","NRG Esports","Jungle",43,"33%",,80,66,263,5.2,"77.4%","18.1%","11.7%","40%",-16,-105,-0.6,4.2,"15.2%",346,"17.8%",200,"19.6%",0.78,0.49
"Seraph","Team EnVyUs","Top",42,"40%",,86,130,227,2.4,"65.1%","17.9%","23.9%","17%",-49,-176,-2.5,7.3,"25.7%",387,"19.1%",236,"21.0%",0.49,0.15
