"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Echo Fox","Support",2,"100%","0%",2,6,18,3.3,"60.6%","6.1%","21.4%","50%",777,128,19,2.5,"8.7%",162,"7.4%",153,"11.4%",1.01,0.13
"Akaadian","OpTic Gaming","Jungle",16,"56%","56%",21,33,73,2.8,"64.4%","14.4%","21.9%","31%",-41,34,1.8,5.2,"14.5%",217,"11.7%",190,"16.9%",0.43,0.48
"Allorim","OpTic Gaming","Top",4,"25%","25%",9,9,14,2.6,"69.7%","27.3%","19.6%","0%",-705,-274,-14.5,8,"23.4%",424,"23.0%",223,"21.7%",0.42,0.11
"Altec","Echo Fox","ADC",10,"60%","67%",32,26,39,2.7,"55.9%","25.2%","16.0%","0%",97,110,3,9.3,"26.8%",506,"23.3%",274,"24.3%",0.45,0.26
"AnDa","100 Thieves","Jungle",14,"57%","36%",32,40,101,3.3,"67.2%","16.2%","24.8%","43%",54,23,-2.9,4.6,"12.8%",243,"12.5%",196,"16.9%",0.64,0.51
"aphromoo","100 Thieves","Support",20,"60%","65%",18,55,169,3.4,"68.0%","6.5%","25.2%","10%",-10,-11,-0.3,1.3,"3.9%",127,"7.0%",119,"10.0%",1.25,0.34
"Apollo","Clutch Gaming","ADC",16,"38%","53%",54,40,59,2.8,"65.3%","31.2%","17.7%","19%",-232,-163,-4.9,9.5,"28.9%",449,"24.4%",279,"25.0%",0.5,0.34
"Armao","TSM","Jungle",20,"55%","65%",35,34,99,3.9,"64.4%","16.8%","18.0%","45%",-147,-242,-5.4,4.8,"12.7%",161,"9.1%",189,"16.1%",0.47,0.26
"Arrow","OpTic Gaming","ADC",18,"50%","56%",36,22,66,4.6,"67.5%","23.8%","12.5%","11%",-86,-117,-3.9,8.6,"24.7%",442,"23.7%",254,"23.4%",0.48,0.43
"Big","OpTic Gaming","Support",18,"50%","67%",3,36,93,2.7,"63.6%","2.0%","20.5%","11%",-53,21,-2.4,1.2,"3.6%",130,"7.3%",98,"8.7%",1.51,0.3
"Biofrost","Counter Logic Gaming","Support",18,"39%","56%",15,39,124,3.6,"70.9%","7.7%","21.0%","22%",139,5,-0.6,1.4,"4.8%",132,"8.6%",114,"10.2%",1.42,0.41
"Bjergsen","TSM","Middle",20,"55%","35%",67,32,80,4.6,"70.7%","32.2%","16.9%","25%",136,300,6.5,9.3,"25.5%",452,"25.4%",277,"23.8%",0.4,0.13
"Blaber","Cloud9","Jungle",9,"89%","22%",26,22,67,4.2,"76.9%","21.5%","27.5%","44%",143,194,4.6,6,"16.6%",395,"20.6%",239,"19.3%",0.41,0.46
"bobqin","Golden Guardians","Middle",2,"0%","0%",4,4,3,1.8,"58.3%","33.3%","13.8%","0%",-219,-394,-3.5,9.8,"30.2%",324,"20.5%",253,"26.7%",0.64,0.19
"Cody Sun","100 Thieves","ADC",20,"60%","60%",85,36,110,5.4,"70.9%","30.9%","16.5%","10%",-51,247,2.7,10.3,"31.4%",549,"29.0%",319,"26.8%",0.36,0.28
"Contractz","Golden Guardians","Jungle",18,"28%","33%",37,68,103,2.1,"71.4%","18.9%","33.7%","44%",-169,-88,-6,5,"13.9%",332,"18.3%",183,"16.7%",0.46,0.31
"Damonte","Echo Fox","Middle",14,"50%","57%",41,33,46,2.6,"57.2%","27.0%","18.6%","36%",162,-108,0,9.3,"26.6%",406,"20.2%",266,"23.5%",0.45,0.15
"Dardoch","Echo Fox","Jungle",20,"55%","47%",48,65,120,2.6,"68.9%","19.7%","23.3%","30%",41,254,7.1,5.5,"14.6%",302,"14.9%",205,"17.8%",0.33,0.4
"Darshan","Counter Logic Gaming","Top",17,"35%","35%",30,41,66,2.3,"53.3%","16.7%","22.7%","47%",-20,33,-0.8,7.8,"22.2%",355,"21.7%",220,"20.3%",0.56,0.08
"Deftly","Golden Guardians","ADC",18,"28%","33%",54,16,66,7.5,"61.2%","27.6%","7.9%","17%",231,209,9.6,9.8,"28.0%",439,"24.6%",279,"25.9%",0.32,0.24
"Dhokla","OpTic Gaming","Top",14,"57%","43%",23,39,48,1.8,"60.2%","19.5%","30.0%","21%",-134,-77,-2.2,9.4,"27.2%",429,"24.3%",268,"23.9%",0.43,0.14
"Doublelift","Team Liquid","ADC",18,"67%","61%",68,25,73,5.6,"72.7%","35.1%","14.0%","28%",152,59,4.9,10.2,"29.5%",522,"29.8%",313,"26.6%",0.39,0.38
"FallenBandit","Counter Logic Gaming","Top",1,"100%","0%",1,1,7,8,"50.0%","6.3%","20.0%","0%",-932,-260,-32,7.9,"21.9%",319,"17.6%",237,"17.8%",0.66,0.25
"FEBIVEN","Clutch Gaming","Middle",18,"33%","47%",39,41,83,3,"65.2%","20.9%","16.4%","6%",-68,21,2.5,9,"25.7%",417,"23.4%",243,"22.7%",0.45,0.12
"Feng","Echo Fox","Support",8,"50%","38%",6,26,58,2.5,"68.1%","6.4%","19.4%","0%",-191,-33,6.5,1.3,"4.8%",169,"7.9%",104,"9.5%",1.3,0.26
"Fenix","Echo Fox","Middle",6,"67%","100%",20,19,41,3.2,"66.3%","21.7%","18.6%","0%",-669,-469,-10.4,8,"22.7%",474,"22.3%",248,"21.1%",0.31,0.1
"Flame","FlyQuest","Top",20,"50%","70%",46,46,90,3,"58.9%","19.9%","19.3%","25%",240,280,6.5,8.9,"27.3%",406,"24.3%",263,"23.7%",0.46,0.12
"Galen","Clutch Gaming","Jungle",2,"0%","0%",3,4,9,3,"85.7%","21.4%","16.7%","0%",-149,-180,-7,4.4,"12.1%",77,"4.7%",147,"16.5%",0.38,0.45
"Gate","OpTic Gaming","Jungle",2,"0%","50%",0,5,4,0.8,"80.0%","0.0%","20.0%","0%",-835,-580,-21.5,1.2,"3.6%",50,"3.8%",83,"9.4%",1.24,0.38
"Goldenglue","Cloud9","Middle",7,"29%","57%",18,13,35,4.1,"70.7%","24.0%","14.9%","43%",306,341,7.1,9.2,"25.2%",631,"32.4%",271,"23.0%",0.56,0.29
"Griffin","Counter Logic Gaming","Jungle",2,"100%","50%",11,1,10,21,"63.6%","33.3%","7.1%","50%",616,384,5,5.6,"14.7%",240,"12.8%",261,"19.7%",0.38,0.43
"Hakuho","Clutch Gaming","Support",16,"38%","40%",12,52,101,2.2,"65.3%","6.9%","23.0%","19%",-27,-176,-1.8,1.1,"3.8%",207,"10.9%",110,"10.0%",1.46,0.48
"Hauntzer","TSM","Top",20,"55%","40%",43,47,82,2.7,"60.1%","20.7%","24.9%","20%",-120,-46,-3.8,9.6,"28.6%",422,"24.9%",283,"24.5%",0.53,0.2
"huhi","Counter Logic Gaming","Middle",18,"39%","56%",52,33,83,4.1,"68.9%","26.5%","17.7%","33%",-116,-27,-4.1,9.5,"28.5%",410,"25.6%",267,"24.5%",0.6,0.21
"Huni","Echo Fox","Top",20,"55%","42%",50,65,111,2.5,"66.0%","20.5%","23.3%","25%",84,-91,4.6,9.3,"28.8%",611,"30.9%",288,"25.2%",0.45,0.14
"Impact","Team Liquid","Top",18,"67%","50%",40,36,96,3.8,"70.1%","20.6%","20.2%","22%",-49,-106,-3.9,8.7,"24.3%",421,"24.3%",264,"21.9%",0.44,0.12
"JayJ","FlyQuest","Support",16,"56%","50%",13,43,102,2.7,"59.0%","6.7%","25.0%","19%",70,98,3,1.8,"5.8%",139,"8.3%",124,"10.8%",1.39,0.28
"Jensen","Cloud9","ADC",2,"0%","50%",9,8,14,2.9,"71.9%","28.1%","21.6%","50%",-369,521,-7,8.3,"26.8%",430,"17.9%",263,"23.1%",0.28,0.15
"Jensen","Cloud9","Middle",11,"82%","55%",47,15,67,7.6,"75.5%","31.1%","14.2%","18%",134,169,7,9.4,"26.2%",479,"23.2%",294,"23.7%",0.37,0.22
"Keane","FlyQuest","Middle",20,"50%","40%",59,51,90,2.9,"64.5%","25.5%","21.4%","10%",-137,-123,-9.7,8.2,"24.9%",444,"26.3%",243,"22.4%",0.37,0.14
"Keith","Cloud9","ADC",4,"25%","25%",6,11,12,1.6,"54.5%","18.2%","22.4%","25%",-266,-323,-8,9.2,"25.5%",423,"25.5%",264,"22.8%",0.51,0.4
"Kwon","FlyQuest","Support",4,"25%","50%",4,14,19,1.6,"63.9%","11.1%","21.2%","25%",-91,49,-5,1.3,"5.3%",107,"6.1%",92,"9.3%",1.32,0.28
"Licorice","Cloud9","Top",18,"61%","39%",52,29,89,4.9,"62.4%","23.0%","15.0%","28%",282,238,7.1,9.5,"27.1%",454,"22.7%",296,"24.6%",0.5,0.14
"Lira","Clutch Gaming","Jungle",16,"38%","67%",36,45,79,2.6,"66.5%","20.8%","19.9%","31%",-37,-70,3.7,5.6,"15.2%",256,"13.7%",195,"18.3%",0.62,0.47
"Lost","Echo Fox","ADC",10,"50%","30%",37,18,46,4.6,"70.9%","31.6%","15.4%","0%",74,-142,1.1,9.2,"26.8%",549,"28.3%",289,"24.9%",0.43,0.29
"Lourlo","Golden Guardians","Top",18,"28%","83%",38,32,61,3.1,"50.5%","19.4%","15.8%","17%",-132,-196,-4.8,8.9,"25.8%",360,"20.7%",252,"23.1%",0.5,0.14
"Matt Elento","Golden Guardians","Support",18,"28%","39%",16,47,115,2.8,"66.8%","8.2%","23.3%","28%",55,61,-2.6,1.2,"3.9%",204,"10.9%",104,"9.6%",1.43,0.3
"Meteos","100 Thieves","Jungle",6,"67%","50%",8,14,38,3.3,"59.7%","10.4%","24.6%","33%",-131,-104,-5,3.8,"11.4%",175,"11.0%",177,"15.8%",0.56,0.36
"Mickey","Golden Guardians","Middle",16,"31%","44%",47,35,81,3.7,"69.6%","25.5%","20.2%","31%",-6,-457,-5.9,9.4,"28.2%",472,"26.2%",267,"24.5%",0.56,0.24
"Mithy","TSM","Support",20,"55%","50%",9,45,114,2.7,"59.1%","4.3%","23.8%","25%",-72,-80,1,1.5,"4.3%",134,"7.5%",111,"9.4%",1.65,0.35
"Olleh","Team Liquid","Support",18,"67%","44%",13,44,128,3.2,"72.7%","6.7%","24.7%","28%",143,144,-0.3,1.7,"5.4%",196,"11.3%",131,"10.9%",1.47,0.35
"Piglet","Clutch Gaming","ADC",2,"0%","50%",5,6,5,1.7,"71.4%","35.7%","25.0%","0%",57,-184,-12,8.5,"28.4%",699,"37.9%",237,"25.4%",0.56,0.3
"Pobelter","Team Liquid","Middle",18,"67%","67%",42,35,95,3.9,"70.6%","21.6%","19.7%","11%",13,24,4.2,9.5,"25.8%",414,"22.6%",277,"23.4%",0.55,0.23
"PowerOfEvil","OpTic Gaming","Middle",18,"50%","61%",59,32,60,3.7,"78.8%","39.1%","18.2%","28%",208,453,8.2,10.6,"32.0%",612,"34.2%",304,"28.4%",0.55,0.31
"Reignover","Counter Logic Gaming","Jungle",16,"31%","44%",28,44,98,2.9,"77.3%","17.2%","25.6%","69%",111,-29,-0.2,4.9,"12.7%",220,"14.4%",184,"17.2%",0.61,0.37
"Ryu","100 Thieves","Middle",20,"60%","35%",55,45,136,4.2,"69.5%","20.0%","20.6%","40%",-136,-215,-5.2,7.9,"21.7%",493,"25.7%",246,"20.9%",0.43,0.21
"Santorin","FlyQuest","Jungle",20,"50%","60%",44,42,125,4,"73.2%","19.0%","17.6%","30%",35,-184,-5.6,4.5,"12.1%",218,"12.8%",185,"16.9%",0.47,0.38
"Smoothie","Echo Fox","Support",10,"50%","40%",8,21,74,3.9,"70.1%","6.8%","17.9%","0%",-6,65,0.8,1.2,"3.4%",142,"7.3%",106,"9.2%",1.34,0.15
"Smoothie","Cloud9","Support",2,"0%","50%",2,6,19,3.5,"65.6%","6.3%","16.2%","100%",341,243,-6.5,0.5,"2.1%",244,"10.3%",115,"10.2%",1.35,0.23
"Sneaky","Cloud9","ADC",12,"83%","50%",37,24,70,4.5,"66.5%","23.0%","22.4%","0%",-308,-23,-8.7,9.9,"28.8%",520,"25.4%",305,"24.2%",0.42,0.28
"Solo","Clutch Gaming","Top",18,"33%","47%",37,56,80,2.1,"62.6%","19.8%","22.4%","11%",-11,-74,2.8,8.8,"26.7%",490,"27.4%",256,"24.4%",0.49,0.16
"Ssumday","100 Thieves","Top",20,"60%","55%",77,28,96,6.2,"62.9%","28.0%","12.8%","25%",17,67,-1.4,9.4,"30.6%",477,"26.3%",303,"25.7%",0.48,0.19
"Stixxay","Counter Logic Gaming","ADC",18,"39%","39%",59,27,66,4.6,"63.8%","30.1%","14.5%","11%",309,181,7.8,10.2,"31.5%",503,"30.1%",301,"27.7%",0.42,0.3
"Svenskeren","Cloud9","Jungle",9,"33%","78%",15,30,62,2.6,"73.3%","14.3%","26.5%","44%",252,175,6.9,5.1,"13.4%",257,"13.4%",198,"16.9%",0.49,0.34
"Vulcan","Clutch Gaming","Support",2,"0%","50%",1,6,10,1.8,"78.6%","7.1%","25.0%","0%",-286,-204,6,1.6,"5.2%",125,"7.9%",70,"7.6%",1.27,0.2
