Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Pobelter,Immortals,Middle,45,0.67,,187,90,268,5.1,0.69,0.29,0.17,0.20,10,-67,0.6,8.9,0.27,583,0.28,292,0.24,0.43,0.22,0
Reignover,Team Liquid,Jungle,31,0.35,,66,81,157,2.8,0.70,0.21,0.23,0.52,129,81,3,4.4,0.13,265,0.15,190,0.18,1,0.31,0
Rey,Cloud9,Top,14,0.50,,24,39,90,2.9,0.64,0.14,0.24,0.07,-83,-16,-11,8,0.27,419,0.22,245,0.21,0.59,0.15,0
Ryu,Phoenix1,Middle,39,0.36,,135,96,177,3.3,0.68,0.30,0.20,0.26,-28,31,-3.6,8.4,0.28,522,0.28,259,0.24,0.41,0.27,0
Seraph,Team EnVyUs,Top,47,0.45,,84,145,252,2.3,0.64,0.16,0.28,0.28,-150,-203,-2.4,8.5,0.26,387,0.21,246,0.21,0.61,0.19,0
Shady,Phoenix1,Support,13,0.23,,15,27,79,3.5,0.76,0.12,0.15,0.23,44,112,2.8,0.8,0.03,165,0.10,112,0.11,1.56,0.35,0
Shrimp,Dignitas,Jungle,45,0.56,,94,126,276,2.9,0.75,0.19,0.24,0.24,-28,-2,0.2,4.2,0.13,247,0.13,202,0.18,0.8,0.33,0
Slooshi,Team Liquid,Middle,8,0.25,,25,18,31,3.1,0.70,0.31,0.22,0.38,-298,-252,-14,8.2,0.26,440,0.26,242,0.23,0.56,0.16,0
Smoothie,Cloud9,Support,45,0.62,,39,96,451,5.1,0.77,0.06,0.20,0.20,-103,-37,0,0.7,0.02,126,0.06,136,0.11,1.44,0.3,0
Sneaky,Cloud9,ADC,45,0.62,,146,88,296,5,0.70,0.23,0.19,0.20,-19,14,-0.8,8.8,0.29,521,0.26,288,0.24,0.42,0.35,0
Ssumday,Dignitas,Top,51,0.57,,119,104,277,3.8,0.70,0.21,0.18,0.16,-60,-1,-0.4,8.5,0.29,410,0.22,258,0.23,0.52,0.19,0
Stixxay,Counter Logic Gaming,ADC,46,0.59,,181,83,289,5.7,0.67,0.26,0.15,0.22,-54,11,0.8,8.7,0.29,508,0.26,282,0.24,0.43,0.32,0
Svenskeren,TSM,Jungle,41,0.73,,106,127,303,3.2,0.70,0.18,0.27,0.34,-122,-145,-1.3,4,0.12,290,0.13,207,0.17,0.89,0.3,0
WildTurtle,FlyQuest,ADC,44,0.39,,139,123,179,2.6,0.64,0.28,0.17,0.14,-110,-87,-3.5,9.2,0.31,524,0.26,273,0.25,0.38,0.23,0
Xmithie,Immortals,Jungle,45,0.67,,104,129,334,3.4,0.67,0.16,0.25,0.56,67,28,-1.7,4.1,0.12,282,0.14,213,0.18,0.88,0.3,0
Xpecial,Phoenix1,Support,33,0.36,,13,96,257,2.8,0.70,0.03,0.22,0.21,6,97,5.7,1.4,0.05,117,0.06,134,0.12,1.37,0.32,0
zig,Phoenix1,Top,45,0.33,,70,134,230,2.2,0.59,0.14,0.23,0.20,-17,64,1.4,7.9,0.25,380,0.21,227,0.21,0.61,0.13,0
