"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Remilia","Renegades","Support",6,"17%",,3,26,35,1.5,"74.5%","5.9%","29.2%","33%",28,196,2,0.8,"2.8%",113,"6.5%",113,"10.8%",1.04,0.3
"RF Legendary","Renegades","Top",9,"11%",,15,22,28,2,"58.9%","20.5%","16.3%","33%",-69,135,0.9,6.8,"24.6%",293,"18.2%",211,"20.6%",0.57,0.17
"Rush","Cloud9","Jungle",18,"67%",,45,38,135,4.7,"70.9%","17.7%","17.8%","39%",133,264,2.9,4,"12.9%",337,"16.5%",230,"19.3%",0.75,0.42
"Seraph","Team Impulse","Top",3,"67%",,12,4,19,7.8,"73.8%","28.6%","16.0%","0%",109,81,0.3,8.4,"29.0%",502,"25.9%",283,"23.6%",0.49,0.26
"Seraph","Renegades","Top",7,"71%",,20,9,52,8,"80.9%","22.5%","12.2%","29%",102,-231,0.3,7.7,"26.7%",343,"17.1%",263,"21.8%",0.59,0.25
"Shiphtur","Dignitas","Middle",18,"22%",,66,30,69,4.5,"73.4%","35.9%","13.3%","22%",-153,44,-5.5,8.6,"28.8%",503,"28.9%",268,"25.1%",0.52,0.16
"Shrimp","NRG Esports","Jungle",1,"100%",,1,7,10,1.6,"68.8%","6.3%","43.8%","0%",-665,-448,-9,3.3,"10.6%",161,"7.0%",204,"16.0%",0.54,0.44
"Smoothie","Team Liquid","Support",1,"0%",,0,4,9,2.3,"75.0%","0.0%","22.2%","0%",-182,-745,-9,0.3,"1.2%",85,"3.3%",98,"9.9%",1.24,0.24
"Sneaky","Cloud9","ADC",18,"67%",,80,43,95,4.1,"68.9%","31.5%","20.1%","17%",-79,-56,-1.8,8.3,"27.9%",597,"28.0%",284,"23.6%",0.42,0.21
"Solo","Echo Fox","Top",5,"0%",,4,10,16,2,"60.6%","12.1%","16.9%","40%",-206,-330,-11,6.8,"26.8%",275,"21.2%",197,"21.0%",0.54,0.18
"Stixxay","Counter Logic Gaming","ADC",18,"72%",,64,30,84,4.9,"68.5%","29.6%","16.6%","33%",201,6,1.8,8.9,"29.7%",460,"24.1%",291,"24.5%",0.49,0.29
"Stunt","Echo Fox","Support",1,"0%",,0,4,10,2.5,"100.0%","0.0%","22.2%","100%",371,759,17,1.6,"5.6%",205,"11.4%",145,"13.0%",1.27,0.25
"Svenskeren","TSM","Jungle",18,"50%",,36,61,109,2.4,"66.8%","16.6%","25.1%","11%",-24,-2,-0.3,3.6,"12.3%",359,"18.3%",203,"17.7%",0.81,0.44
"WildTurtle","Immortals","ADC",18,"94%",,104,31,114,7,"71.5%","34.1%","21.2%","39%",142,-5,-0.6,9.1,"31.5%",674,"28.9%",342,"24.6%",0.41,0.16
"Xmithie","Counter Logic Gaming","Jungle",18,"72%",,25,30,125,5,"69.4%","11.6%","16.6%","39%",99,101,1.9,4.5,"15.0%",278,"15.1%",228,"19.2%",0.75,0.5
"YellOwStaR","TSM","Support",18,"50%",,2,54,157,2.9,"73.3%","0.9%","22.2%","11%",-51,-92,3.1,1.2,"4.9%",87,"4.2%",131,"11.3%",1.23,0.28
