Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Scarlet,OpTic Gaming,Middle,2.00,0.50,1.00,8.00,8.00,7.00,1.90,0.79,0.42,0.33,0.00,-360.00,-296.00,-3.50,7.70,0.23,665.00,0.33,251.00,0.23,0.42,0.16,0
Smoothie,TSM,Support,18.00,0.56,0.39,13.00,46.00,143.00,3.40,0.76,0.06,0.22,0.28,-6.00,4.00,5.40,1.30,0.04,150.00,0.08,104.00,0.09,1.43,0.19,0
Sneaky,Cloud9,ADC,17.00,0.71,0.53,60.00,28.00,98.00,5.60,0.63,0.24,0.18,0.12,-70.00,-134.00,-2.10,8.40,0.29,548.00,0.28,290.00,0.25,0.42,0.40,0
Soligo,100 Thieves,Middle,4.00,0.00,0.50,7.00,8.00,6.00,1.60,0.65,0.35,0.15,0.00,-448.00,-123.00,-10.00,8.60,0.27,433.00,0.32,232.00,0.25,0.44,0.27,0
Solo,Echo Fox,Top,12.00,0.25,0.50,27.00,38.00,46.00,1.90,0.67,0.25,0.21,0.00,-20.00,132.00,5.20,9.10,0.29,526.00,0.29,274.00,0.25,0.45,0.20,0
Spica,TSM,Jungle,2.00,0.50,0.50,1.00,5.00,12.00,2.60,0.68,0.05,0.21,0.00,-173.00,-446.00,-10.00,4.40,0.13,168.00,0.09,159.00,0.15,0.31,0.39,0
Ssumday,100 Thieves,Top,4.00,0.00,0.75,5.00,13.00,6.00,0.80,0.55,0.25,0.25,0.00,-491.00,-169.00,-7.30,7.90,0.26,277.00,0.23,220.00,0.24,0.37,0.25,0
Stixxay,Counter Logic Gaming,ADC,19.00,0.63,0.58,51.00,30.00,81.00,4.40,0.61,0.24,0.16,0.16,-6.00,-29.00,-0.50,9.30,0.30,459.00,0.25,293.00,0.25,0.52,0.33,0
Svenskeren,Cloud9,Jungle,15.00,0.73,0.60,39.00,35.00,120.00,4.50,0.72,0.18,0.25,0.47,100.00,127.00,-1.70,5.00,0.14,294.00,0.15,211.00,0.18,0.62,0.41,1
V1per,FlyQuest,Top,18.00,0.28,0.61,41.00,42.00,65.00,2.50,0.70,0.27,0.22,0.39,-25.00,-27.00,-1.20,8.70,0.27,271.00,0.19,252.00,0.24,0.49,0.15,0
Vulcan,Clutch Gaming,Support,18.00,0.50,0.50,11.00,46.00,126.00,3.00,0.71,0.06,0.25,0.33,46.00,-21.00,-3.70,1.30,0.04,167.00,0.10,113.00,0.10,1.47,0.37,0
Wadid,FlyQuest,Support,12.00,0.33,0.67,3.00,25.00,81.00,3.40,0.76,0.03,0.21,0.42,-50.00,-243.00,5.00,1.10,0.03,126.00,0.08,82.00,0.08,1.49,0.19,0
WildTurtle,FlyQuest,ADC,18.00,0.28,0.50,38.00,26.00,65.00,4.00,0.68,0.25,0.14,0.28,-251.00,-18.00,-7.70,9.60,0.32,420.00,0.29,275.00,0.26,0.38,0.28,0
Xmithie,Team Liquid,Jungle,18.00,0.78,0.56,36.00,27.00,138.00,6.40,0.70,0.14,0.17,0.33,-15.00,-78.00,-0.20,5.10,0.15,187.00,0.10,201.00,0.17,0.62,0.43,0
Yusui,Echo Fox,Middle,4.00,0.25,0.25,9.00,12.00,7.00,1.30,0.50,0.28,0.23,0.00,-35.00,-238.00,-9.30,8.20,0.23,295.00,0.19,238.00,0.23,0.43,0.25,0
Zeyzal,Cloud9,Support,19.00,0.68,0.47,17.00,34.00,185.00,5.90,0.71,0.06,0.18,0.21,-122.00,-11.00,-5.60,1.40,0.05,235.00,0.11,130.00,0.11,1.27,0.26,0
Zven,TSM,ADC,18.00,0.56,0.50,63.00,39.00,97.00,4.10,0.78,0.31,0.19,0.22,13.00,-55.00,-4.40,9.10,0.31,576.00,0.30,305.00,0.27,0.46,0.34,0
