"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Darshan","Counter Logic Gaming","Top",19,"68%",,73,48,127,4.2,"64.3%","23.5%","20.1%","42%",275,549,10.6,6.3,"22.3%",417,"21.4%",214,"19.7%",0.69,0.08
"Dodo","Team 8","Support",19,"32%",,21,82,147,2,"77.4%","9.7%","25.9%","53%",69,55,2.6,1.1,"4.2%",130,"8.0%",97,"10.2%",1.22,0.28
"Doublelift","Counter Logic Gaming","ADC",19,"68%",,117,49,130,5,"79.4%","37.6%","20.5%","42%",207,-61,5,9.1,"35.0%",588,"30.3%",312,"28.8%",0.14,0.18
"Dyrus","TSM","Top",18,"61%",,38,39,124,4.2,"65.6%","15.4%","19.5%","17%",-125,15,-1.6,6.3,"23.3%",319,"17.5%",198,"19.4%",0.57,0.07
"Emperor","Team Dragon Knights","ADC",9,"33%",,46,28,49,3.4,"67.9%","32.9%","17.6%","56%",308,139,3.9,8.4,"31.1%",521,"25.5%",272,"27.0%",0.13,0.17
"Fenix","Team Liquid","Middle",19,"74%",,93,43,132,5.2,"73.1%","30.2%","21.3%","21%",121,197,7.7,8.8,"31.6%",639,"33.1%",277,"25.6%",0.18,0.12
"Flaresz","Enemy","Top",18,"22%",,37,90,81,1.3,"61.5%","19.3%","29.4%","17%",-246,-368,-5.2,5.9,"24.3%",324,"19.0%",175,"19.7%",0.5,0.09
"Gamsu","Dignitas","Top",18,"56%",,54,41,114,4.1,"72.4%","23.3%","18.6%","33%",27,-109,-0.9,6.8,"26.3%",329,"19.9%",218,"22.4%",0.44,0.15
"Gate","Team Impulse","Middle",3,"67%",,20,8,29,6.1,"68.1%","27.8%","19.0%","0%",-303,21,-5,8.9,"33.0%",516,"22.8%",308,"24.5%",0.44,0.13
"Gate","Team Impulse","Support",1,"100%",,1,5,12,2.6,"56.5%","4.3%","31.3%","100%",143,-406,6,0.9,"3.0%",141,"7.5%",128,"10.4%",1.02,0.14
"Goldenglue","Team 8","Middle",13,"38%",,38,32,79,3.7,"75.5%","24.5%","16.5%","15%",-8,-9,-2.1,8,"29.4%",575,"33.8%",239,"25.5%",0.3,0.24
"Hai","Cloud9","Jungle",9,"44%",,22,24,57,3.3,"62.7%","17.5%","19.8%","22%",96,358,1.8,3.9,"14.9%",301,"16.0%",209,"19.4%",0.56,0.38
"Hauntzer","Gravity","Top",19,"63%",,73,50,124,3.9,"71.9%","26.6%","19.2%","16%",36,-152,-1.3,6.7,"25.5%",378,"21.3%",222,"21.5%",0.63,0.06
"Helios","Dignitas","Jungle",14,"50%",,21,44,91,2.5,"65.5%","12.3%","23.9%","50%",-175,-66,-2.7,2.7,"9.2%",195,"12.5%",153,"16.4%",0.95,0.27
"Impact","Team Impulse","Top",19,"68%",,72,46,178,5.4,"73.3%","21.1%","20.2%","32%",177,53,3.7,6.2,"21.7%",383,"20.0%",224,"19.4%",0.43,0.05
"Innox","Enemy","Middle",18,"22%",,54,46,78,2.9,"68.8%","28.1%","15.0%","6%",-120,-216,-6.9,8.1,"30.5%",610,"35.1%",232,"26.4%",0.53,0.14
"IWDominate","Team Liquid","Jungle",19,"74%",,45,42,190,5.6,"76.3%","14.6%","20.8%","42%",226,265,3.8,3.2,"11.0%",228,"11.9%",194,"18.1%",0.82,0.32
"Jensen","Cloud9","Middle",19,"37%",,65,49,96,3.3,"69.7%","28.1%","17.7%","16%",108,255,4.9,8.6,"31.5%",557,"31.5%",250,"25.5%",0.43,0.11
"Keane","Gravity","Middle",19,"63%",,58,58,133,3.3,"69.7%","21.2%","22.2%","16%",51,-71,3.5,7.7,"25.5%",525,"28.3%",240,"23.2%",0.23,0.11
"Keith","TSM","ADC",1,"100%",,4,3,13,5.7,"85.0%","20.0%","27.3%","0%",-518,-61,-10,8.3,"33.1%",595,"23.7%",270,"25.1%",0.04,0.26
"Kez","Team Dragon Knights","Jungle",18,"17%",,32,64,129,2.5,"68.5%","13.6%","18.6%","39%",-20,-152,-2.8,3.1,"10.7%",237,"12.9%",159,"17.2%",1.18,0.36
"KiWiKiD","Dignitas","Support",18,"56%",,16,57,148,2.9,"70.7%","6.9%","25.9%","44%",19,-37,-0.1,0.8,"2.7%",143,"8.8%",95,"9.4%",0.95,0.21
"Kold","Enemy","Jungle",18,"22%",,29,42,120,3.5,"77.6%","15.1%","13.7%","11%",-257,-75,-2.4,3,"11.0%",230,"13.4%",156,"17.5%",0.76,0.23
"Lattman","Team Dragon Knights","ADC",9,"0%",,20,38,51,1.9,"74.7%","21.1%","20.5%","44%",-57,0,-4.1,8.1,"30.9%",467,"26.8%",224,"25.8%",0.1,0.29
"LemonNation","Cloud9","Support",19,"37%",,12,67,161,2.6,"74.9%","5.2%","24.2%","21%",35,-44,-0.9,0.8,"3.0%",170,"9.3%",100,"10.1%",1.12,0.27
"Lustboy","TSM","Support",18,"61%",,13,49,166,3.7,"72.5%","5.3%","24.5%","33%",16,143,-0.8,0.7,"3.0%",102,"5.9%",106,"10.1%",1.22,0.33
"mancloud","Team Dragon Knights","Middle",3,"0%",,12,11,17,2.6,"72.5%","30.0%","16.2%","0%",-55,-11,-5.7,7.6,"28.4%",459,"28.9%",223,"25.2%",0.47,0.27
"Maplestreet","Team 8","ADC",2,"0%",,4,8,12,2,"69.6%","17.4%","18.2%","0%",87,-200,3.5,7.1,"23.6%",371,"22.0%",201,"22.3%",0.17,0.11
"Meteos","Cloud9","Jungle",10,"30%",,11,25,65,3,"72.4%","10.5%","16.0%","30%",32,-11,5.5,3.4,"11.5%",199,"11.9%",160,"18.0%",0.85,0.36
"Move","Gravity","Jungle",19,"63%",,43,63,151,3.1,"70.8%","15.7%","24.1%","21%",-81,-219,-1.1,2.9,"9.7%",239,"13.8%",171,"16.6%",1.01,0.48
"Nien","Team 8","ADC",17,"35%",,75,48,84,3.3,"82.0%","38.7%","17.6%","41%",36,60,-0.4,8.3,"32.4%",436,"25.9%",258,"27.7%",0.13,0.18
"Ninja","Team Dragon Knights","Middle",9,"33%",,49,29,49,3.4,"70.0%","35.0%","18.2%","11%",-11,-15,-2.9,8.8,"32.3%",693,"33.7%",271,"27.0%",0.18,0.15
"otter","Enemy","ADC",18,"22%",,61,53,71,2.5,"68.8%","31.8%","17.3%","6%",-147,-61,-0.8,8.1,"31.5%",399,"23.4%",239,"26.7%",0.1,0.14
"Piglet","Team Liquid","ADC",19,"74%",,95,23,132,9.9,"73.7%","30.8%","11.4%","26%",56,108,2.7,8.7,"33.8%",579,"30.2%",285,"26.4%",0.17,0.18
"Pobelter","Counter Logic Gaming","Middle",19,"68%",,72,45,131,4.5,"65.3%","23.2%","18.8%","11%",3,-262,-4.7,7.8,"27.4%",627,"31.9%",254,"23.7%",0.19,0.2
"Porpoise","Team 8","Jungle",19,"32%",,20,55,150,3.1,"78.3%","9.2%","17.4%","47%",-191,-232,-4.5,2.8,"9.9%",196,"12.0%",148,"16.2%",0.94,0.35
"Quas","Team Liquid","Top",19,"74%",,62,48,167,4.8,"74.4%","20.1%","23.8%","26%",-2,-20,-2.9,5.8,"20.9%",362,"19.1%",205,"19.0%",0.64,0.09
"Rush","Team Impulse","Jungle",19,"68%",,75,56,190,4.7,"77.7%","22.0%","24.6%","58%",262,436,5.5,3.5,"11.3%",336,"17.6%",218,"19.0%",0.71,0.24
"Santorin","TSM","Jungle",18,"61%",,25,21,165,9,"76.9%","10.1%","10.5%","33%",53,-113,-0.8,3.2,"11.4%",175,"9.9%",173,"17.0%",0.78,0.39
"Seraph","Team Dragon Knights","Top",18,"17%",,56,69,92,2.1,"63.0%","23.8%","20.1%","28%",-66,-57,-1.1,6.8,"25.3%",447,"23.6%",207,"22.1%",0.48,0.11
"Shiphtur","Dignitas","Middle",18,"56%",,63,36,91,4.3,"66.4%","27.2%","16.4%","28%",-91,31,-6.9,8.3,"31.2%",500,"29.2%",248,"25.9%",0.35,0.12
"Slooshi","Team 8","Middle",6,"17%",,17,26,22,1.5,"62.9%","27.4%","21.3%","17%",-153,126,-0.3,8.3,"33.1%",542,"33.6%",232,"27.1%",0.15,0.11
"Smoothie","Team Dragon Knights","Support",15,"20%",,9,65,141,2.3,"71.8%","4.3%","22.6%","47%",-33,-89,0.8,0.8,"3.0%",124,"6.6%",87,"9.1%",1.18,0.24
"Sneaky","Cloud9","ADC",19,"37%",,80,45,95,3.9,"75.8%","34.6%","16.2%","21%",-39,2,-0.7,8.6,"31.6%",510,"28.2%",262,"26.8%",0.15,0.16
"WildTurtle","TSM","ADC",17,"59%",,60,45,92,3.4,"67.0%","26.4%","23.8%","29%",-68,-279,-2.4,8.6,"31.9%",405,"24.2%",266,"26.4%",0.08,0.17
"XiaoWeiXiao","Team Impulse","Middle",16,"69%",,63,32,126,5.9,"70.3%","23.4%","17.2%","19%",-49,-99,1.4,9.4,"34.9%",612,"32.8%",289,"25.7%",0.41,0.22
"Xmithie","Counter Logic Gaming","Jungle",19,"68%",,30,42,174,4.9,"65.6%","9.6%","17.6%","47%",59,-109,0.5,3.4,"12.0%",207,"10.5%",185,"16.9%",0.79,0.34
"Xpecial","Team Liquid","Support",19,"74%",,13,46,225,5.2,"77.3%","4.2%","22.8%","47%",60,-43,-0.8,0.7,"2.7%",109,"5.7%",117,"10.8%",1.15,0.28
