"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Team Impulse","Support",18,"67%",,18,46,239,5.6,"80.8%","5.7%","21.7%","39%",22,-50,0,0.9,"3.6%",98,"5.2%",135,"11.7%",1.48,0.28
"Altec","Gravity","ADC",19,"63%",,90,37,104,5.2,"70.8%","32.8%","14.2%","16%",-43,17,-1.5,9.6,"36.3%",570,"31.1%",303,"28.7%",0.15,0.21
"aphromoo","Counter Logic Gaming","Support",19,"68%",,19,55,225,4.4,"78.5%","6.1%","23.0%","37%",102,177,0,0.8,"3.3%",117,"6.0%",120,"10.9%",0.99,0.29
"Apollo","Team Impulse","ADC",19,"68%",,92,35,163,7.3,"74.8%","27.0%","15.4%","21%",-105,-65,-2.1,8.1,"28.9%",500,"25.9%",280,"24.5%",0.25,0.19
"Azingy","Dignitas","Jungle",4,"75%",,13,6,29,7,"68.9%","21.3%","16.7%","50%",12,310,-1.5,2.7,"9.5%",205,"11.7%",173,"17.6%",0.97,0.21
"BalIs","Cloud9","Top",19,"37%",,41,67,125,2.5,"71.9%","17.7%","24.2%","16%",-25,52,0.7,6.1,"20.8%",310,"17.2%",187,"19.0%",0.43,0.05
"Big","Team Dragon Knights","Support",3,"0%",,2,14,9,0.8,"42.3%","7.7%","24.6%","67%",18,-42,4.7,0.8,"2.8%",79,"4.1%",69,"7.8%",1.21,0.35
"Bischu","Team Dragon Knights","Middle",6,"0%",,9,26,31,1.5,"72.7%","16.4%","22.2%","0%",-246,-248,-8.5,7.7,"27.5%",500,"28.4%",203,"23.2%",0.43,0.2
"Bjergsen","TSM","Middle",18,"61%",,107,43,78,4.3,"74.9%","43.3%","21.5%","22%",161,201,8.2,8.6,"30.3%",756,"42.5%",274,"27.2%",0.45,0.14
"Bodydrop","Enemy","Support",18,"22%",,11,75,119,1.7,"67.7%","5.7%","24.5%","6%",-229,20,-1.8,0.6,"2.7%",150,"9.0%",89,"9.6%",1.1,0.24
"Bunny FuFuu","Gravity","Support",19,"63%",,10,53,200,4,"76.6%","3.6%","20.3%","37%",-88,-118,0,0.8,"3.0%",97,"5.5%",105,"9.9%",1.23,0.25
"CaliTrlolz","Team 8","Top",19,"32%",,42,65,104,2.2,"67.3%","19.4%","20.6%","21%",-73,9,-2.6,6.2,"23.8%",336,"20.8%",189,"20.5%",0.54,0.13
"CoreJJ","Dignitas","ADC",18,"56%",,65,36,111,4.9,"75.9%","28.0%","16.4%","17%",-8,221,0,7.9,"30.5%",509,"29.8%",248,"25.6%",0.14,0.16
