"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Dignitas","Support",22,"64%",,17,57,174,3.4,"77.3%","6.9%","25.0%","27%",114,70,2.1,0.9,"3.3%",152,"8.3%",155,"13.0%",1.68,0.28
"Akaadian","Echo Fox","Jungle",34,"41%",,60,86,148,2.4,"64.0%","18.5%","20.7%","47%",124,66,2.1,4.4,"13.7%",244,"12.9%",195,"18.0%",0.69,0.3
"Allorim","Phoenix1","Top",1,"0%",,0,5,1,0.2,"33.3%","0.0%","25.0%","0%",-199,-497,-7,6.7,"19.1%",251,"18.0%",144,"17.5%",0.42,0
"Altec","Dignitas","ADC",30,"57%",,104,51,130,4.6,"73.8%","32.8%","15.5%","17%",106,104,2.5,9.3,"32.2%",517,"27.5%",296,"25.7%",0.41,0.28
"aphromoo","Counter Logic Gaming","Support",46,"59%",,30,137,418,3.3,"64.2%","4.3%","24.4%","28%",-5,2,-4.5,0.7,"2.5%",145,"7.5%",143,"12.1%",1.27,0.32
"Apollo","Team EnVyUs","ADC",47,"45%",,127,91,225,3.9,"67.3%","24.3%","17.3%","26%",171,18,5.9,9.3,"28.6%",485,"25.8%",277,"24.1%",0.43,0.28
"Armao","Echo Fox","Jungle",9,"22%",,13,34,40,1.6,"54.1%","13.3%","22.4%","44%",-20,38,-1.6,4.1,"12.7%",182,"10.9%",192,"17.7%",0.78,0.23
"Arrow","Phoenix1","ADC",46,"33%",,131,103,250,3.7,"75.0%","25.8%","17.0%","15%",-45,-105,-4.1,8.2,"28.2%",498,"27.4%",253,"23.8%",0.49,0.36
"BalIs","FlyQuest","Top",44,"39%",,101,145,200,2.1,"60.7%","20.4%","20.5%","11%",-31,-7,0,7.9,"25.0%",385,"20.0%",232,"21.2%",0.45,0.1
"Benji","Dignitas","ADC",21,"57%",,51,43,120,4,"67.9%","20.2%","16.5%","24%",-212,-216,-2.6,7.9,"25.2%",380,"21.6%",250,"22.2%",0.25,0.25
"Big","Dignitas","Support",29,"52%",,24,99,197,2.2,"68.6%","7.5%","27.3%","21%",-160,8,-2.5,0.6,"2.2%",203,"11.3%",124,"11.0%",1.4,0.33
"Biofrost","TSM","Support",41,"73%",,31,86,401,5,"74.4%","5.3%","17.9%","17%",-35,-121,0.7,1,"3.3%",160,"7.6%",143,"11.6%",1.39,0.38
"Bjergsen","TSM","Middle",41,"73%",,193,67,261,6.8,"78.1%","33.2%","14.0%","24%",97,56,5.9,8.8,"26.3%",665,"30.0%",293,"24.2%",0.41,0.14
"Brandini","Echo Fox","Top",14,"29%",,20,46,41,1.3,"57.5%","18.9%","24.5%","21%",-155,-73,-11.9,7.3,"25.0%",383,"21.2%",202,"20.7%",0.56,0.09
"Chaser","Dignitas","Jungle",6,"67%",,11,9,38,5.4,"65.3%","14.7%","15.5%","50%",-131,-55,-5.3,4.4,"13.8%",206,"13.0%",207,"18.2%",0.87,0.34
"Cody Sun","Immortals","ADC",45,"67%",,182,85,269,5.3,"68.6%","27.7%","16.3%","27%",85,69,0.8,9.1,"29.4%",567,"27.1%",299,"24.5%",0.41,0.22
"Contractz","Cloud9","Jungle",45,"62%",,117,110,333,4.1,"71.0%","18.5%","23.4%","36%",17,-60,0.6,4.6,"14.5%",329,"16.6%",217,"18.2%",0.83,0.29
"Damonte","Echo Fox","Middle",5,"20%",,15,12,12,2.3,"69.2%","38.5%","17.4%","0%",-345,-387,-2,8.8,"28.6%",456,"28.1%",244,"24.1%",0.45,0.11
"Dardoch","Counter Logic Gaming","Jungle",32,"63%",,86,98,231,3.2,"64.3%","17.4%","25.0%","47%",-66,-96,-2.8,4.1,"13.8%",289,"15.7%",210,"18.3%",0.75,0.34
"Dardoch","Team Liquid","Jungle",9,"22%",,22,28,60,2.9,"75.2%","20.2%","22.0%","78%",-238,-139,-7.7,3.7,"11.8%",231,"12.5%",187,"17.4%",0.69,0.32
"Darshan","Counter Logic Gaming","Top",46,"59%",,164,101,261,4.2,"60.9%","23.5%","18.0%","37%",108,42,-0.6,7.6,"25.1%",414,"21.1%",251,"21.5%",0.58,0.09
"Doublelift","TSM","ADC",41,"73%",,149,82,248,4.8,"68.3%","25.6%","17.1%","12%",88,109,4.1,9,"30.2%",587,"26.2%",297,"24.4%",0.44,0.34
"Flame","Immortals","Top",45,"67%",,127,96,262,4.1,"59.2%","19.3%","18.4%","22%",149,-16,3.5,8.5,"27.2%",387,"19.1%",261,"21.4%",0.49,0.14
"Froggen","Echo Fox","Middle",38,"39%",,133,86,131,3.1,"68.8%","34.6%","17.3%","29%",207,47,8.4,9.2,"29.4%",720,"37.8%",276,"25.7%",0.47,0.18
"Galen","FlyQuest","Jungle",44,"39%",,93,146,239,2.3,"66.9%","18.8%","20.7%","30%",-82,9,3.6,4.2,"12.6%",222,"11.7%",189,"17.4%",0.83,0.24
"Gate","Echo Fox","Support",43,"37%",,28,112,242,2.4,"63.8%","6.6%","19.8%","14%",18,-61,-0.1,1,"3.8%",113,"6.0%",134,"12.1%",1.32,0.24
"Goldenglue","Team Liquid","Middle",30,"30%",,73,79,136,2.6,"68.8%","24.0%","21.3%","30%",-30,-25,-4.6,8.6,"27.6%",494,"27.0%",249,"23.7%",0.57,0.25
"Hai","FlyQuest","Middle",44,"39%",,134,145,204,2.3,"68.1%","27.0%","20.5%","14%",-100,-3,-3.5,8.6,"27.9%",593,"31.0%",265,"24.2%",0.48,0.24
"Hakuho","Team EnVyUs","Support",47,"45%",,37,90,351,4.3,"74.2%","7.1%","17.1%","26%",110,47,0,1,"3.4%",204,"10.9%",138,"11.8%",1.49,0.54
"Hauntzer","TSM","Top",41,"73%",,102,118,279,3.2,"65.6%","17.6%","24.6%","12%",33,44,6.4,8.7,"28.6%",495,"22.8%",270,"22.5%",0.54,0.16
"huhi","Counter Logic Gaming","Middle",46,"59%",,209,105,281,4.7,"70.2%","29.9%","18.7%","17%",-42,-35,-3.2,8.8,"29.9%",613,"31.3%",284,"24.5%",0.63,0.19
"Impact","Cloud9","Top",31,"68%",,52,80,214,3.3,"58.3%","11.4%","26.1%","23%",42,165,3.3,7.6,"23.9%",420,"20.8%",242,"20.0%",0.52,0.14
"Inori","Team Liquid","Jungle",4,"0%",,4,13,19,1.8,"56.1%","9.8%","22.4%","25%",-269,-523,-6.8,2.8,"7.1%",317,"14.2%",144,"14.0%",0.94,0.14
"Inori","Phoenix1","Jungle",7,"29%",,4,14,38,3,"68.9%","6.6%","15.1%","14%",-102,-56,-3.9,4.1,"12.1%",187,"11.8%",170,"17.6%",0.89,0.24
"Jensen","Cloud9","Middle",45,"62%",,256,57,240,8.7,"78.2%","40.4%","12.1%","7%",218,250,8.9,9.5,"30.0%",594,"29.9%",312,"26.2%",0.37,0.17
"Keane","Dignitas","Middle",51,"57%",,149,101,251,4,"70.3%","26.2%","17.1%","16%",-79,-19,-1.9,8.6,"26.4%",525,"29.2%",264,"23.4%",0.32,0.14
"Keith","Echo Fox","ADC",32,"41%",,80,75,124,2.7,"59.1%","23.2%","18.0%","19%",-86,-75,-2,8.6,"27.8%",451,"22.9%",258,"22.9%",0.41,0.29
"Kwon","Team Liquid","Support",6,"33%",,2,18,48,2.8,"68.5%","2.7%","25.7%","33%",-51,-53,-6,0.9,"2.9%",135,"7.5%",118,"10.6%",1.44,0.3
"LemonNation","FlyQuest","Support",44,"39%",,29,147,304,2.3,"67.1%","5.8%","20.8%","14%",17,68,0.3,1.1,"4.0%",218,"11.1%",140,"12.3%",1.27,0.37
"Lira","Team EnVyUs","Jungle",47,"45%",,129,106,249,3.6,"72.3%","24.7%","20.1%","43%",92,196,2.2,5.1,"15.2%",261,"14.2%",223,"19.4%",0.83,0.4
"Looper","Echo Fox","Top",29,"41%",,59,91,116,1.9,"55.2%","18.6%","24.0%","24%",56,104,0.7,8.2,"26.0%",410,"22.2%",245,"22.0%",0.59,0.18
"Lourlo","Team Liquid","Top",44,"30%",,78,97,193,2.8,"57.5%","16.6%","18.0%","34%",-4,-55,-2.8,8.3,"27.8%",364,"19.7%",233,"22.2%",0.5,0.11
"Mash","Echo Fox","ADC",11,"27%",,15,25,34,2,"62.8%","19.2%","16.6%","0%",-422,-105,-8.4,8.3,"27.5%",402,"23.1%",220,"22.8%",0.44,0.28
"Matt Elento","Team Liquid","Support",38,"29%",,26,96,275,3.1,"75.6%","6.5%","20.5%","29%",-29,-4,-1.3,0.6,"2.1%",157,"8.9%",117,"10.9%",1.34,0.28
"Meteos","Phoenix1","Jungle",3,"0%",,5,11,12,1.5,"73.9%","21.7%","26.2%","67%",-118,-153,-8.3,4.1,"13.3%",223,"15.7%",184,"19.2%",0.38,0.2
