Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Pobelter,Team Liquid,Middle,18.00,0.67,0.67,42.00,35.00,95.00,3.90,0.71,0.22,0.20,0.11,13.00,24.00,4.20,9.50,0.26,414.00,0.23,277.00,0.23,0.55,0.23,0
PowerOfEvil,OpTic Gaming,Middle,18.00,0.50,0.61,59.00,32.00,60.00,3.70,0.79,0.39,0.18,0.28,208.00,453.00,8.20,10.60,0.32,612.00,0.34,304.00,0.28,0.55,0.31,0
Reignover,Counter Logic Gaming,Jungle,16.00,0.31,0.44,28.00,44.00,98.00,2.90,0.77,0.17,0.26,0.69,111.00,-29.00,-0.20,4.90,0.13,220.00,0.14,184.00,0.17,0.61,0.37,0
Ryu,100 Thieves,Middle,20.00,0.60,0.35,55.00,45.00,136.00,4.20,0.70,0.20,0.21,0.40,-136.00,-215.00,-5.20,7.90,0.22,493.00,0.26,246.00,0.21,0.43,0.21,0
Santorin,FlyQuest,Jungle,20.00,0.50,0.60,44.00,42.00,125.00,4.00,0.73,0.19,0.18,0.30,35.00,-184.00,-5.60,4.50,0.12,218.00,0.13,185.00,0.17,0.47,0.38,0
Smoothie,Echo Fox,Support,10.00,0.50,0.40,8.00,21.00,74.00,3.90,0.70,0.07,0.18,0.00,-6.00,65.00,0.80,1.20,0.03,142.00,0.07,106.00,0.09,1.34,0.15,0
Smoothie,Cloud9,Support,2.00,0.00,0.50,2.00,6.00,19.00,3.50,0.66,0.06,0.16,1.00,341.00,243.00,-6.50,0.50,0.02,244.00,0.10,115.00,0.10,1.35,0.23,0
Sneaky,Cloud9,ADC,12.00,0.83,0.50,37.00,24.00,70.00,4.50,0.67,0.23,0.22,0.00,-308.00,-23.00,-8.70,9.90,0.29,520.00,0.25,305.00,0.24,0.42,0.28,0
Solo,Clutch Gaming,Top,18.00,0.33,0.47,37.00,56.00,80.00,2.10,0.63,0.20,0.22,0.11,-11.00,-74.00,2.80,8.80,0.27,490.00,0.27,256.00,0.24,0.49,0.16,0
Ssumday,100 Thieves,Top,20.00,0.60,0.55,77.00,28.00,96.00,6.20,0.63,0.28,0.13,0.25,17.00,67.00,-1.40,9.40,0.31,477.00,0.26,303.00,0.26,0.48,0.19,0
Stixxay,Counter Logic Gaming,ADC,18.00,0.39,0.39,59.00,27.00,66.00,4.60,0.64,0.30,0.15,0.11,309.00,181.00,7.80,10.20,0.32,503.00,0.30,301.00,0.28,0.42,0.30,0
Svenskeren,Cloud9,Jungle,9.00,0.33,0.78,15.00,30.00,62.00,2.60,0.73,0.14,0.27,0.44,252.00,175.00,6.90,5.10,0.13,257.00,0.13,198.00,0.17,0.49,0.34,0
Vulcan,Clutch Gaming,Support,2.00,0.00,0.50,1.00,6.00,10.00,1.80,0.79,0.07,0.25,0.00,-286.00,-204.00,6.00,1.60,0.05,125.00,0.08,70.00,0.08,1.27,0.20,0
WildTurtle,FlyQuest,ADC,20.00,0.50,0.55,65.00,42.00,94.00,3.80,0.69,0.28,0.18,0.10,-61.00,-180.00,-5.20,9.50,0.30,483.00,0.29,288.00,0.27,0.32,0.33,0
Xmithie,Team Liquid,Jungle,18.00,0.67,0.44,31.00,38.00,97.00,3.40,0.66,0.16,0.21,0.28,64.00,220.00,6.90,5.50,0.15,211.00,0.12,202.00,0.17,0.60,0.33,0
Zeyzal,Cloud9,Support,16.00,0.69,0.50,14.00,35.00,121.00,3.90,0.70,0.07,0.22,0.06,-194.00,-129.00,0.90,1.60,0.05,158.00,0.09,123.00,0.10,1.44,0.34,0
Zven,TSM,ADC,20.00,0.55,0.50,54.00,31.00,86.00,4.50,0.67,0.26,0.16,0.10,-72.00,-177.00,-3.50,10.00,0.29,594.00,0.33,306.00,0.26,0.40,0.36,0
