Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Huni,Clutch Gaming,Top,18,0.28,0.33,38,53,80,2.2,64.80%,0.21,0.23,0.28,61,-45,-0.6,8.1,0.25,490,0.28,245,0.23,0.4,0.21,0
Impact,Team Liquid,Top,18,0.78,0.39,34,29,91,4.3,53.20%,0.15,0.22,0.11,-56,-35,-3.2,8.1,0.23,443,0.22,250,0.21,0.46,0.14,0
JayJ,FlyQuest,Support,19,0.53,0.58,9,49,132,2.9,69.80%,0.05,0.26,0.37,77,67,-1.1,1.5,0.05,145,0.09,124,0.11,1.43,0.28,0
Jensen,Team Liquid,Middle,18,0.78,0.50,67,12,103,14.2,72.30%,0.29,0.09,0.17,-10,14,1.1,9.1,0.26,537,0.26,283,0.24,0.36,0.2,0
Keith,Cloud9,ADC,1,1.00,0.00,7,1,9,16,84.20%,0.37,0.25,1.00,2010,847,16,9.8,0.27,545,0.32,369,0.26,0.44,0.27,0
Kumo,Cloud9,Top,1,1.00,1.00,2,0,3,5,26.30%,0.11,0.00,0.00,-79,-538,-19,7.2,0.20,284,0.17,261,0.18,0.47,0.07,0
Licorice,Cloud9,Top,17,0.76,0.59,42,36,80,3.4,52.10%,0.18,0.22,0.12,174,72,6.4,8.2,0.25,446,0.21,261,0.22,0.52,0.14,0
Lira,Clutch Gaming,Jungle,18,0.28,0.78,36,47,90,2.7,69.20%,0.20,0.20,0.56,42,62,1.9,5.3,0.14,212,0.12,188,0.17,0.86,0.43,0
Maxi,FlyQuest,Jungle,1,1.00,0.00,3,2,13,8,88.90%,0.17,0.14,0.00,226,330,8,5,0.14,259,0.12,205,0.16,0.22,0.17,0
Meteos,OpTic Gaming,Jungle,12,0.33,0.25,20,30,38,1.9,58.60%,0.20,0.21,0.33,18,-56,-1.5,5.1,0.14,203,0.12,180,0.17,0.37,0.34,0
Neo,OpTic Gaming,ADC,4,0.50,0.75,10,7,12,3.1,53.70%,0.24,0.17,0.50,143,1,-6.3,9.9,0.33,485,0.30,289,0.26,0.5,0.3,0
Nisqy,Cloud9,Middle,16,0.81,0.50,59,19,102,8.5,72.50%,0.27,0.13,0.25,-67,-189,-4.3,8.4,0.25,525,0.25,271,0.23,0.52,0.15,0
Olleh,Golden Guardians,Support,19,0.47,0.53,12,58,117,2.2,66.20%,0.06,0.27,0.32,-78,-22,-1.9,1.7,0.06,153,0.08,135,0.12,1.52,0.26,0
Panda,Echo Fox,Jungle,4,0.00,0.50,3,10,9,1.2,63.20%,0.16,0.20,0.25,-314,-310,-1.5,4.7,0.12,129,0.10,153,0.15,0.81,0.38,0
Piglet,Clutch Gaming,ADC,16,0.31,0.44,46,38,79,3.3,71.40%,0.26,0.19,0.31,-9,112,-0.4,9.2,0.29,542,0.30,279,0.26,0.39,0.32,0
Piglet,Clutch Gaming,Middle,2,0.00,0.50,4,8,2,0.8,85.70%,0.57,0.29,0.00,-76,-131,-6,8.3,0.22,511,0.34,219,0.24,0.32,0.19,0
Pobelter,FlyQuest,Middle,19,0.53,0.26,56,33,89,4.4,71.80%,0.28,0.17,0.05,39,-6,1,8.7,0.25,462,0.28,261,0.23,0.54,0.29,0
PowerOfEvil,Counter Logic Gaming,Middle,18,0.39,0.72,47,36,59,2.9,78.50%,0.35,0.20,0.28,-40,15,-3.6,9.3,0.30,536,0.35,272,0.26,0.44,0.17,0
Rush,Echo Fox,Jungle,14,0.57,0.29,22,41,100,3,73.90%,0.13,0.29,0.21,27,-31,-0.4,4.8,0.14,230,0.12,180,0.16,0.35,0.35,0
Santorin,FlyQuest,Jungle,18,0.50,0.50,38,30,100,4.6,75.00%,0.21,0.17,0.50,182,296,3.7,5.2,0.14,212,0.13,189,0.17,0.48,0.41,0
Smoothie,TSM,Support,18,0.72,0.56,11,40,134,3.6,67.80%,0.05,0.24,0.22,-64,-10,-0.8,1.4,0.04,124,0.07,113,0.10,1.59,0.29,0
Sneaky,Cloud9,ADC,17,0.76,0.41,70,24,87,6.5,67.10%,0.30,0.15,0.18,-102,-99,-6.2,8.9,0.29,678,0.32,300,0.25,0.39,0.38,0
Soligo,100 Thieves,Middle,6,0.00,0.67,8,17,15,1.4,69.70%,0.24,0.22,0.17,-431,-332,-14.5,7.4,0.21,343,0.24,203,0.21,0.41,0.12,0
Solo,Echo Fox,Top,18,0.44,0.33,40,43,73,2.6,61.40%,0.22,0.22,0.11,-71,1,1.7,8.2,0.25,423,0.24,242,0.22,0.45,0.16,0
Ssumday,100 Thieves,Top,16,0.25,0.44,38,29,39,2.7,62.10%,0.31,0.18,0.19,107,66,6.4,8.9,0.28,410,0.26,274,0.26,0.42,0.27,0
Stixxay,Counter Logic Gaming,ADC,16,0.44,0.50,32,24,53,3.5,66.40%,0.25,0.15,0.19,-106,-56,-1.8,9.6,0.30,444,0.27,280,0.26,0.44,0.33,0
Stunt,100 Thieves,Support,2,0.00,0.50,2,7,9,1.6,84.60%,0.15,0.20,0.00,-184,114,-10,1.3,0.06,185,0.11,117,0.13,1.06,0.26,0
Svenskeren,Cloud9,Jungle,16,0.75,0.63,42,44,112,3.5,68.40%,0.19,0.29,0.44,-17,27,2.2,5.1,0.15,301,0.14,206,0.17,0.42,0.38,0
V1per,FlyQuest,Top,19,0.53,0.53,31,37,81,3,55.40%,0.15,0.19,0.21,-183,8,-6.2,8.8,0.26,318,0.19,257,0.22,0.49,0.14,0
Vulcan,Clutch Gaming,Support,18,0.28,0.56,9,54,122,2.4,72.00%,0.05,0.23,0.33,-90,-159,-2,1.3,0.04,114,0.07,106,0.10,1.52,0.28,0
WildTurtle,FlyQuest,ADC,19,0.53,0.58,65,41,77,3.5,70.30%,0.32,0.21,0.32,12,15,-1.2,10,0.31,501,0.31,316,0.28,0.32,0.31,0
Xmithie,Team Liquid,Jungle,18,0.78,0.50,40,38,123,4.3,69.40%,0.17,0.29,0.17,-50,-7,2.6,5.4,0.15,281,0.14,206,0.17,0.69,0.35,0
Zeyzal,Cloud9,Support,17,0.76,0.47,16,32,145,5,68.80%,0.07,0.20,0.29,39,-12,0.8,1.8,0.07,186,0.09,145,0.12,1.31,0.28,0
Zven,TSM,ADC,18,0.72,0.50,69,27,81,5.6,70.10%,0.32,0.16,0.17,129,63,4.2,9.5,0.29,656,0.33,313,0.27,0.38,0.37,0
