Player,Team,Pos,GP,W%,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,EGPM,GOLD%,WPM,WCPM,MVP
Akaadian,TSM,Jungle,18,0.72,0.50,36,38,102,3.6,64.50%,0.17,0.23,0.28,-26,-32,-2.1,5.3,0.15,218,0.11,201,0.17,0.4,0.42,0
Allorim,OpTic Gaming,Top,2,0.50,1.00,8,3,5,4.3,50.00%,0.31,0.13,0.00,-25,101,-1,8.8,0.27,351,0.20,271,0.23,0.55,0.22,0
AnDa,100 Thieves,Jungle,16,0.25,0.69,18,40,61,2,63.70%,0.15,0.24,0.25,132,150,1.6,5.1,0.14,159,0.11,175,0.16,0.71,0.44,0
aphromoo,100 Thieves,Support,16,0.25,0.19,7,42,61,1.6,54.80%,0.06,0.26,0.06,7,58,2.8,1.6,0.05,95,0.06,107,0.10,1.21,0.29,0
Apollo,Echo Fox,ADC,18,0.44,0.61,53,29,75,4.4,69.60%,0.29,0.15,0.11,-9,14,1.1,9.5,0.30,460,0.26,289,0.26,0.42,0.36,0
Arrow,OpTic Gaming,ADC,14,0.36,0.71,30,17,46,4.5,62.80%,0.25,0.10,0.21,-14,-57,-0.5,9.1,0.29,471,0.28,279,0.26,0.51,0.41,0
Bang,100 Thieves,ADC,18,0.22,0.50,40,25,62,4.1,74.50%,0.29,0.13,0.06,-88,-97,-3.4,9.5,0.30,534,0.35,282,0.27,0.52,0.28,0
Big,OpTic Gaming,Support,14,0.36,0.57,9,45,68,1.7,63.60%,0.07,0.26,0.29,21,-42,0.9,1.5,0.05,112,0.07,105,0.10,1.53,0.35,0
Biofrost,Counter Logic Gaming,Support,18,0.39,0.67,8,31,83,2.9,67.40%,0.06,0.17,0.28,-59,-51,3.6,1.7,0.06,97,0.06,115,0.11,1.49,0.36,0
Bjergsen,TSM,Middle,18,0.72,0.56,52,25,94,5.8,68.20%,0.24,0.15,0.28,136,142,3.3,9,0.26,507,0.26,280,0.24,0.4,0.17,0
Blaber,Cloud9,Jungle,2,1.00,0.50,6,5,14,4,71.40%,0.21,0.42,1.00,-90,216,-3.5,5.4,0.16,411,0.24,229,0.18,0.66,0.27,0
Broken Blade,TSM,Top,18,0.72,0.39,46,37,73,3.2,55.60%,0.22,0.22,0.17,6,-12,-3.1,8.3,0.26,432,0.23,270,0.23,0.58,0.17,0
Cody Sun,Clutch Gaming,ADC,2,0.00,1.00,2,3,3,1.7,71.40%,0.29,0.11,0.50,-1074,-555,-19,10,0.34,387,0.27,251,0.27,0.36,0.24,0
Contractz,Golden Guardians,Jungle,19,0.47,0.63,36,51,83,2.3,61.00%,0.19,0.23,0.37,-125,-176,-4.4,5,0.14,243,0.13,183,0.16,0.68,0.39,0
CoreJJ,Team Liquid,Support,18,0.78,0.39,18,29,158,6.1,74.90%,0.08,0.22,0.22,72,32,0.9,1.6,0.05,133,0.07,129,0.11,1.41,0.33,1
Crown,OpTic Gaming,Middle,18,0.39,0.61,43,44,74,2.7,72.20%,0.27,0.20,0.28,61,93,-0.1,8.6,0.26,521,0.31,255,0.24,0.58,0.22,0
Damonte,Clutch Gaming,Middle,16,0.31,0.38,47,29,57,3.6,59.40%,0.27,0.14,0.13,-90,-127,1.9,9.3,0.28,420,0.23,272,0.25,0.47,0.16,0
Dardoch,OpTic Gaming,Jungle,6,0.50,0.33,11,14,31,3,66.70%,0.18,0.19,0.17,-19,-235,-0.8,4.9,0.13,253,0.14,181,0.16,0.55,0.35,0
Darshan,Counter Logic Gaming,Top,17,0.41,0.71,24,34,53,2.3,58.30%,0.18,0.20,0.24,78,-20,-1.2,7.8,0.23,320,0.20,232,0.22,0.57,0.12,0
Deftly,Golden Guardians,ADC,19,0.47,0.26,48,27,77,4.6,64.10%,0.25,0.12,0.26,40,21,8.2,9.5,0.30,436,0.23,288,0.26,0.33,0.4,0
Dhokla,OpTic Gaming,Top,16,0.38,0.63,29,47,36,1.4,47.80%,0.21,0.24,0.13,-233,-128,-6.3,8,0.25,354,0.21,244,0.23,0.42,0.18,0
Diamond,Cloud9,Support,1,1.00,0.00,2,0,13,15,78.90%,0.11,0.00,1.00,1123,896,12,2.5,0.08,108,0.06,197,0.14,1.22,0.17,0
Doublelift,Team Liquid,ADC,18,0.78,0.50,76,23,95,7.4,72.80%,0.32,0.18,0.22,136,80,2.2,10.2,0.31,659,0.32,332,0.28,0.39,0.41,0
FakeGod,100 Thieves,Top,2,0.00,0.50,1,5,5,1.2,46.20%,0.08,0.14,0.50,-86,-80,2.5,7.6,0.29,400,0.23,205,0.22,0.4,0.14,0
FallenBandit,Counter Logic Gaming,Top,1,0.00,1.00,1,4,0,0.3,33.30%,0.33,0.29,0.00,327,18,2,7.6,0.20,352,0.24,209,0.22,0.57,0.09,0
Fenix,Echo Fox,Middle,18,0.44,0.50,48,39,71,3.1,64.70%,0.26,0.20,0.11,65,58,3.9,8.9,0.27,525,0.29,259,0.24,0.34,0.13,0
Fragas,100 Thieves,Jungle,2,0.00,1.00,0,10,12,1.2,92.30%,0.00,0.29,0.50,-689,-610,-7,4,0.12,173,0.10,130,0.14,0.54,0.31,0
Froggen,Golden Guardians,Middle,19,0.47,0.42,62,46,80,3.1,72.80%,0.32,0.21,0.16,104,35,4,8.6,0.24,607,0.32,258,0.23,0.37,0.22,0
Galen,Counter Logic Gaming,Jungle,3,0.00,0.33,3,8,9,1.5,80.00%,0.20,0.20,0.00,-120,-134,-6.7,4.5,0.13,143,0.10,144,0.15,0.35,0.5,0
Gate,OpTic Gaming,Support,4,0.50,0.25,2,11,25,2.5,65.90%,0.05,0.26,0.75,317,5,3,1.3,0.05,119,0.07,147,0.13,1.38,0.23,0
Goldenglue,Cloud9,Middle,2,0.50,0.00,7,4,12,4.8,61.30%,0.23,0.24,0.50,-78,216,-4.5,8.6,0.26,352,0.19,291,0.24,0.44,0.19,0
Griffin,Counter Logic Gaming,Jungle,15,0.47,0.13,18,40,63,2,67.50%,0.15,0.28,0.53,23,-42,-1.2,4.7,0.13,174,0.11,168,0.16,0.36,0.41,0
Hakuho,Echo Fox,Support,18,0.44,0.56,18,32,116,4.2,72.80%,0.10,0.17,0.11,-29,70,-2.8,1.5,0.06,167,0.09,135,0.12,1.28,0.38,0
Hauntzer,Golden Guardians,Top,19,0.47,0.58,37,37,87,3.4,63.60%,0.19,0.17,0.11,119,109,7.3,8.5,0.25,428,0.24,257,0.23,0.5,0.21,0
Hooks,Counter Logic Gaming,ADC,2,0.00,0.00,2,6,4,1,85.70%,0.29,0.24,0.00,-342,47,-6,8.4,0.26,429,0.32,234,0.25,0.35,0.3,0
huhi,100 Thieves,Middle,12,0.33,0.58,23,25,41,2.6,61.50%,0.22,0.20,0.25,-96,45,-2.7,8.6,0.24,327,0.22,244,0.22,0.56,0.22,0
