"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"CaliTrlolz","Team 8","Top",19,"47%",,65,68,99,2.4,"63.1%","25.0%","23.0%","37%",-132,-79,-4.2,6.6,"25.6%",448,"25.8%",216,"21.9%",0.53,0.14
"CloudNguyen","Dignitas","Jungle",6,"50%",,5,28,51,2,"67.5%","6.0%","37.8%","50%",-396,-470,-6.5,3.1,"11.9%",156,"10.9%",167,"16.9%",0.76,0.25
"Cop","Gravity","ADC",18,"56%",,99,32,85,5.8,"75.7%","40.7%","14.2%","17%",-24,-133,-1.3,9.2,"34.9%",537,"31.1%",293,"28.7%",0.12,0.16
"CoreJJ","Dignitas","ADC",18,"33%",,54,42,68,2.9,"67.8%","30.0%","17.6%","17%",-70,124,-0.9,8.4,"32.2%",455,"31.8%",247,"27.7%",0.15,0.18
"Cris","Team Coast","Top",18,"6%",,30,75,68,1.3,"66.2%","20.3%","27.6%","22%",-286,-521,-11.7,6.6,"25.7%",337,"24.8%",182,"21.5%",0.41,0.12
"Crumbz","Dignitas","Jungle",4,"25%",,1,15,10,0.7,"57.9%","5.3%","34.1%","0%",-15,19,3,2.7,"8.9%",134,"10.1%",114,"15.6%",0.81,0.39
"Darshan","Counter Logic Gaming","Top",17,"65%",,37,35,115,4.3,"67.6%","16.4%","19.9%","35%",147,405,6.2,5.7,"21.2%",325,"20.3%",198,"18.6%",0.57,0.11
"Dodo","Team 8","Support",19,"47%",,9,71,163,2.4,"66.2%","3.5%","24.0%","21%",7,136,0.4,0.8,"3.5%",138,"8.0%",103,"10.2%",1.14,0.33
"Doublelift","Counter Logic Gaming","ADC",19,"63%",,75,37,109,5,"71.0%","29.0%","17.4%","42%",153,-174,5.1,9.4,"35.7%",476,"29.4%",300,"28.1%",0.24,0.18
"Dyrus","TSM","Top",18,"72%",,27,57,118,2.5,"52.7%","9.8%","29.4%","0%",-4,72,2.3,7,"24.2%",319,"17.5%",217,"19.3%",0.41,0.1
"Fenix","Team Liquid","Middle",19,"53%",,66,58,101,2.9,"66.5%","26.3%","22.6%","11%",3,93,3,8.6,"30.9%",496,"30.4%",252,"25.1%",0.18,0.08
"Flaresz","Winterfox","Top",2,"50%",,3,6,11,2.3,"48.3%","10.3%","18.2%","0%",-191,-188,3,6.9,"25.9%",410,"23.4%",210,"19.5%",0.32,0.18
"Gamsu","Dignitas","Top",18,"33%",,36,43,78,2.7,"63.3%","20.0%","18.1%","11%",-14,-104,-2.6,6.8,"26.5%",328,"22.4%",197,"22.1%",0.49,0.15
"Gleeb","Winterfox","Support",12,"50%",,7,28,137,5.1,"78.7%","3.8%","17.7%","42%",-12,-78,1.5,0.6,"2.8%",144,"7.7%",113,"10.8%",1.12,0.25
"Hai","Cloud9","Middle",19,"68%",,55,42,113,4,"72.1%","23.6%","23.3%","16%",-5,-152,-1.2,7.5,"25.7%",389,"23.7%",242,"22.1%",0.37,0.23
"Hauntzer","Gravity","Top",18,"56%",,45,44,131,4,"72.4%","18.5%","19.5%","17%",-103,28,-0.6,6.5,"23.7%",359,"20.8%",206,"20.0%",0.5,0.12
"Helios","Winterfox","Jungle",16,"38%",,43,48,111,3.2,"74.0%","20.7%","20.9%","31%",-247,-317,-7.4,2.6,"9.7%",196,"12.2%",157,"16.5%",0.82,0.21
"Impact","Team Impulse","Top",16,"63%",,40,46,134,3.8,"71.9%","16.5%","22.9%","13%",110,89,1.3,6.4,"21.9%",494,"25.4%",214,"19.8%",0.29,0.09
"Impaler","Team Coast","Jungle",14,"7%",,25,45,69,2.1,"77.0%","20.5%","23.1%","43%",-30,46,0.6,2.9,"9.9%",179,"14.0%",147,"17.4%",0.65,0.23
"IWDominate","Team Liquid","Jungle",19,"53%",,36,52,150,3.6,"74.1%","14.3%","20.2%","42%",118,161,2.1,3.4,"12.1%",192,"11.5%",183,"18.1%",0.67,0.28
"Jesiz","Team Coast","Middle",8,"13%",,19,21,36,2.6,"60.4%","20.9%","19.3%","13%",-47,-55,-4.3,7.3,"26.1%",425,"30.1%",208,"23.0%",0.33,0.16
"Keane","Gravity","Middle",18,"56%",,62,52,97,3.1,"65.4%","25.5%","23.0%","17%",-15,72,0.6,7.7,"27.3%",492,"30.0%",237,"23.5%",0.31,0.15
"Keith","Team Liquid","ADC",6,"83%",,44,11,42,7.8,"76.1%","38.9%","15.3%","0%",-141,-67,-4.8,8.2,"31.6%",630,"32.9%",295,"26.0%",0.09,0.16
"KiWiKiD","Dignitas","Support",18,"33%",,16,47,107,2.6,"68.3%","8.9%","19.7%","28%",-14,-51,0.5,0.6,"2.2%",132,"9.3%",87,"9.5%",0.97,0.19
"Kwon","Team Coast","Support",4,"0%",,1,16,19,1.3,"76.9%","3.8%","20.8%","50%",77,326,7.8,0.7,"2.3%",90,"6.3%",66,"8.5%",1.23,0.17
"LemonNation","Cloud9","Support",19,"68%",,20,38,155,4.6,"75.1%","8.6%","21.1%","21%",17,52,-0.7,0.8,"3.1%",151,"9.5%",116,"10.7%",1.13,0.26
"Link","Counter Logic Gaming","Middle",19,"63%",,91,43,104,4.5,"75.3%","35.1%","20.2%","42%",116,-52,0.8,7.5,"26.5%",511,"31.2%",254,"23.7%",0.23,0.23
"Lustboy","TSM","Support",18,"72%",,11,33,205,6.5,"78.5%","4.0%","17.0%","33%",0,33,-3.3,0.6,"2.4%",118,"6.6%",125,"11.1%",1.22,0.27
"mancloud","Team Coast","Middle",10,"0%",,16,38,20,0.9,"63.2%","28.1%","23.3%","20%",-244,-321,-5.9,7.7,"30.2%",354,"28.7%",196,"25.7%",0.28,0.16
"Maplestreet","Team 8","ADC",19,"47%",,65,44,94,3.6,"61.2%","25.0%","14.9%","11%",37,-172,-1.3,7.7,"28.0%",460,"26.7%",242,"24.5%",0.27,0.16
"Mash","Team Coast","ADC",18,"6%",,44,27,58,3.8,"68.9%","29.7%","9.9%","22%",-167,8,-2.9,8.4,"34.1%",343,"24.9%",233,"27.9%",0.15,0.2
"Meteos","Cloud9","Jungle",19,"68%",,38,30,141,6,"76.8%","16.3%","16.7%","37%",287,342,6.1,4.1,"14.3%",217,"13.8%",220,"20.3%",0.69,0.3
"Paragon","Winterfox","ADC",2,"0%",,5,7,16,3,"77.8%","18.5%","17.5%","0%",30,417,2.5,8.2,"31.2%",383,"28.4%",242,"26.6%",0.18,0.12
"Piglet","Team Liquid","ADC",13,"38%",,40,28,61,3.6,"73.2%","29.0%","15.1%","15%",-104,-6,-4.7,8.6,"32.3%",442,"28.7%",253,"26.8%",0.19,0.16
"Pobelter","Winterfox","Middle",18,"39%",,67,52,101,3.2,"70.9%","28.3%","19.8%","17%",-224,-165,-2.2,7.8,"28.7%",486,"30.0%",238,"24.9%",0.27,0.21
"Porpoise","Team 8","Jungle",19,"47%",,47,46,146,4.2,"74.2%","18.1%","15.5%","42%",55,7,-0.4,3.3,"12.1%",240,"14.0%",182,"18.4%",0.82,0.27
"Quas","Team Liquid","Top",19,"53%",,51,52,116,3.2,"66.5%","20.3%","20.2%","42%",270,227,7.9,6.3,"21.6%",350,"21.8%",202,"20.0%",0.47,0.13
"Rhux","Team Impulse","Top",2,"50%",,6,3,6,4,"66.7%","33.3%","12.0%","0%",208,15,4.5,7.1,"24.4%",340,"19.5%",224,"23.0%",0.26,0.09
"Rush","Team Impulse","Jungle",18,"61%",,43,57,147,3.3,"73.1%","16.5%","25.2%","33%",-6,225,0.4,3.4,"11.5%",271,"14.4%",196,"18.2%",0.57,0.2
"Saintvicious","Gravity","Jungle",18,"56%",,22,61,156,2.9,"73.3%","9.1%","27.0%","22%",-52,-33,-0.6,3.3,"11.4%",186,"11.1%",180,"17.6%",0.81,0.26
"Santorin","TSM","Jungle",18,"72%",,37,31,169,6.6,"74.9%","13.5%","16.0%","28%",180,128,3.4,3.6,"11.9%",215,"11.8%",201,"18.0%",0.65,0.35
"Sheep","Team Coast","Support",14,"7%",,8,38,89,2.6,"79.5%","6.6%","19.5%","29%",-102,-125,1,0.6,"2.4%",88,"7.3%",82,"9.3%",0.99,0.13
"Shiphtur","Dignitas","Middle",18,"33%",,59,36,61,3.3,"66.7%","32.8%","15.1%","17%",-226,-191,-12.2,7.6,"29.2%",375,"26.1%",219,"24.9%",0.18,0.12
"ShorterACE","Winterfox","Jungle",2,"50%",,1,10,18,1.9,"65.5%","3.4%","30.3%","100%",-351,-679,-5.5,2.4,"7.0%",189,"10.6%",147,"13.9%",0.63,0.18
"Slooshi","Team 8","Middle",19,"47%",,74,67,103,2.6,"68.1%","28.5%","22.6%","16%",42,-101,-3.7,8,"30.8%",449,"25.6%",246,"25.0%",0.18,0.15
"Sneaky","Cloud9","ADC",19,"68%",,89,25,90,7.2,"76.8%","38.2%","13.9%","16%",72,116,5.7,9,"33.3%",542,"33.9%",297,"27.4%",0.13,0.15
"WildTurtle","TSM","ADC",18,"72%",,108,42,99,4.9,"75.3%","39.3%","21.6%","28%",114,-64,-3.2,8.8,"32.5%",570,"30.6%",300,"26.5%",0.09,0.12
"WTHeaven","Team Coast","Jungle",4,"0%",,5,12,11,1.3,"61.5%","19.2%","15.6%","50%",-292,-496,-5.8,2.6,"8.2%",191,"13.3%",122,"15.8%",0.86,0.18
"XiaoWeiXiao","Team Impulse","Middle",18,"61%",,70,39,84,3.9,"59.2%","26.9%","17.3%","22%",142,233,8.5,9.4,"35.3%",534,"27.5%",282,"26.2%",0.29,0.21
"Xmithie","Counter Logic Gaming","Jungle",19,"63%",,33,48,145,3.7,"68.7%","12.7%","22.5%","63%",7,-89,-0.2,3.7,"13.7%",171,"10.5%",196,"18.5%",0.7,0.38
"Xpecial","Team Liquid","Support",19,"53%",,14,56,167,3.2,"72.1%","5.6%","21.8%","21%",66,-20,-1,0.8,"3.3%",102,"6.3%",106,"10.3%",1.32,0.26
"yolo","Winterfox","Support",4,"25%",,2,14,21,1.6,"85.2%","7.4%","21.5%","0%",-317,-92,-3.5,0.4,"1.6%",67,"6.5%",76,"8.6%",1.14,0.17
