"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Team Impulse","Support",18,"61%",,11,51,172,3.6,"70.4%","4.2%","22.6%","22%",-21,-176,0.3,0.8,"3.5%",111,"6.0%",116,"10.7%",1.31,0.29
"Altec","Winterfox","ADC",16,"44%",,76,34,90,4.9,"79.0%","36.2%","15.2%","25%",-112,35,-0.8,9,"36.6%",518,"31.8%",283,"29.6%",0.19,0.14
"Altec","Winterfox","Support",2,"0%",,4,10,14,1.8,"66.7%","14.8%","25.0%","100%",137,-105,1.5,1,"3.8%",88,"6.5%",97,"10.4%",1.36,0.5
"aphromoo","Counter Logic Gaming","Support",19,"63%",,17,44,184,4.6,"77.6%","6.6%","20.7%","53%",92,122,1,0.8,"3.1%",126,"7.9%",119,"11.0%",1,0.22
"Apollo","Team Impulse","ADC",18,"61%",,90,30,92,6.1,"70.0%","34.6%","13.3%","6%",87,258,3.8,8.1,"27.5%",535,"27.5%",266,"24.8%",0.16,0.12
"Avalon","Winterfox","Top",16,"38%",,29,54,108,2.5,"65.9%","13.9%","23.5%","19%",-211,-398,-7.4,5.9,"22.9%",289,"18.7%",182,"19.2%",0.41,0.08
"Azingy","Dignitas","Jungle",8,"25%",,9,27,32,1.5,"52.6%","11.5%","22.5%","13%",-301,-407,-3.8,2.7,"8.8%",135,"10.3%",134,"15.1%",0.65,0.25
"BalIs","Cloud9","Top",19,"68%",,31,45,123,3.4,"66.1%","13.3%","25.0%","21%",223,275,8.5,6.6,"23.7%",311,"19.3%",210,"19.5%",0.38,0.1
"Benny","Counter Logic Gaming","Top",2,"50%",,6,6,20,4.3,"76.5%","17.6%","16.2%","0%",-234,-84,-13,5.2,"19.5%",563,"28.1%",197,"19.2%",0.42,0.07
"Bjergsen","TSM","Middle",18,"72%",,92,31,118,6.8,"76.4%","33.5%","16.0%","28%",316,477,11.5,8.6,"29.1%",615,"33.6%",280,"25.0%",0.19,0.11
"Bunny FuFuu","Gravity","Support",18,"56%",,15,37,168,4.9,"75.3%","6.2%","16.4%","28%",-32,-5,-0.1,0.6,"2.7%",119,"6.9%",105,"10.2%",1.13,0.21
