"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adrian","Echo Fox","Support",16,"69%","69%",7,38,151,4.2,"74.5%","3.3%","21.6%","6%",-178,-123,2.1,1.8,"5.1%",151,"7.2%",128,"10.1%",1.65,0.32
"Akaadian","OpTic Gaming","Jungle",18,"28%","44%",21,33,84,3.2,"68.2%","13.6%","16.7%","50%",75,81,0.7,4.9,"13.3%",179,"10.5%",174,"16.5%",1.18,0.38
"Altec","Echo Fox","ADC",19,"63%","26%",70,41,110,4.4,"74.1%","28.8%","19.3%","11%",-152,-86,-4,9.9,"28.2%",571,"25.3%",302,"24.7%",0.38,0.44
"AnDa","FlyQuest","Jungle",16,"38%","75%",17,39,99,3,"79.5%","11.6%","21.2%","25%",-80,-197,-4.6,5.1,"13.5%",168,"8.8%",179,"16.0%",1.48,0.56
"aphromoo","100 Thieves","Support",19,"68%","47%",9,40,131,3.5,"72.9%","4.7%","25.8%","32%",46,73,1.8,1.6,"4.5%",130,"6.9%",127,"10.5%",1.15,0.32
"Apollo","Clutch Gaming","ADC",20,"55%","55%",45,31,84,4.2,"75.4%","26.3%","20.7%","0%",-76,-72,-0.5,9.8,"28.0%",484,"26.7%",283,"24.5%",0.44,0.42
"Arrow","OpTic Gaming","ADC",18,"28%","67%",44,31,66,3.5,"71.4%","28.6%","15.7%","33%",-79,15,-5.5,9.3,"28.8%",509,"28.8%",275,"25.9%",0.52,0.51
"Biofrost","Counter Logic Gaming","Support",18,"39%","67%",9,45,138,3.3,"78.2%","4.8%","21.2%","22%",15,-28,-1.2,1.6,"5.2%",141,"6.8%",120,"10.7%",1.39,0.41
"Bjergsen","TSM","Middle",20,"65%","40%",72,20,98,8.5,"77.6%","32.9%","13.0%","25%",107,227,5.8,10.1,"27.2%",603,"30.1%",304,"24.5%",0.39,0.18
"Cody Sun","100 Thieves","ADC",19,"68%","53%",79,20,85,8.2,"85.4%","41.1%","12.9%","32%",40,126,-0.2,10.2,"30.8%",684,"35.9%",316,"27.4%",0.41,0.37
"Contractz","Golden Guardians","Jungle",18,"22%","56%",27,56,86,2,"72.4%","17.3%","25.6%","28%",-211,-195,-3.8,4.9,"13.2%",243,"12.5%",174,"16.1%",1.6,0.46
"Damonte","Echo Fox","Middle",3,"33%","100%",8,6,14,3.7,"71.0%","25.8%","16.7%","33%",73,-74,5.7,9.1,"24.5%",435,"20.0%",257,"24.6%",0.57,0.21
"Dardoch","Echo Fox","Jungle",19,"63%","37%",39,38,139,4.7,"73.3%","16.0%","17.9%","47%",152,107,1.4,5,"12.3%",250,"11.6%",195,"16.3%",0.88,0.46
"Darshan","Counter Logic Gaming","Top",18,"39%","44%",37,42,88,3,"66.5%","19.7%","19.8%","44%",10,55,2.6,8.2,"24.1%",450,"22.3%",250,"22.8%",0.62,0.14
"Deftly","Golden Guardians","ADC",18,"22%","33%",49,36,64,3.1,"72.4%","31.4%","16.4%","17%",-1,29,0.8,10,"30.0%",576,"28.6%",282,"26.7%",0.4,0.35
"Dhokla","OpTic Gaming","Top",6,"33%","0%",5,18,22,1.5,"55.1%","10.2%","27.7%","17%",-270,-174,-15.8,8.2,"26.8%",310,"19.9%",223,"22.1%",0.53,0.16
"Doublelift","Team Liquid","ADC",20,"60%","55%",60,22,83,6.5,"75.3%","31.6%","13.3%","20%",30,-4,3.6,10.6,"28.7%",527,"28.5%",310,"25.5%",0.45,0.45
"FEBIVEN","Clutch Gaming","Middle",20,"55%","40%",64,18,67,7.3,"76.6%","37.4%","12.0%","15%",-42,85,5.3,9.9,"27.8%",474,"26.5%",289,"25.1%",0.46,0.22
