"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Fenix","Echo Fox","Middle",16,"69%","63%",65,26,83,5.7,"69.8%","30.7%","14.8%","13%",274,185,7.9,9.7,"25.9%",656,"29.7%",296,"24.0%",0.36,0.25
"Flame","FlyQuest","Top",18,"33%","39%",33,31,81,3.7,"73.1%","21.2%","14.3%","22%",177,66,5.3,9,"26.0%",464,"24.2%",261,"23.8%",0.57,0.22
"Fly","FlyQuest","Middle",12,"33%","58%",22,29,60,2.8,"75.9%","20.4%","22.5%","33%",-107,-70,-4.8,8.5,"22.1%",537,"26.9%",238,"21.4%",0.48,0.21
"Hai","Golden Guardians","Middle",18,"22%","44%",34,52,87,2.3,"77.6%","21.8%","23.7%","17%",-320,-230,-8.7,9,"25.6%",539,"28.6%",249,"23.5%",0.58,0.26
"Hakuho","Clutch Gaming","Support",20,"55%","55%",12,32,123,4.2,"78.9%","7.0%","21.3%","5%",3,56,-0.6,1.6,"5.0%",161,"10.0%",130,"11.1%",1.4,0.47
"Hauntzer","TSM","Top",20,"65%","45%",49,43,94,3.3,"65.3%","22.4%","27.9%","20%",128,26,1.6,9.5,"27.2%",539,"26.8%",302,"24.1%",0.64,0.18
"huhi","Counter Logic Gaming","Middle",18,"39%","56%",51,42,98,3.5,"79.3%","27.1%","19.8%","39%",-52,-149,-4.3,9.3,"27.2%",634,"29.6%",264,"24.0%",0.53,0.26
"Huni","Echo Fox","Top",19,"63%","58%",52,54,113,3.1,"67.9%","21.4%","25.5%","21%",322,244,8.2,9.8,"28.9%",601,"27.3%",307,"25.2%",0.52,0.21
"Impact","Team Liquid","Top",20,"60%","70%",38,35,89,3.6,"66.8%","20.0%","21.1%","30%",34,40,-1.7,8.5,"22.6%",424,"24.0%",254,"21.2%",0.59,0.13
"JayJ","FlyQuest","Support",2,"0%","50%",1,6,6,1.2,"70.0%","10.0%","26.1%","100%",-7,97,-6.5,1,"3.3%",222,"13.0%",96,"9.5%",1.54,0.3
"Jensen","Cloud9","Middle",20,"60%","50%",69,24,100,7,"75.8%","30.9%","11.5%","40%",106,110,2.5,10.2,"28.4%",577,"27.9%",301,"25.1%",0.38,0.24
"Keane","FlyQuest","Middle",6,"33%","33%",14,20,25,2,"81.3%","29.2%","22.7%","0%",-79,6,-1,9.3,"26.7%",495,"27.2%",248,"23.0%",0.33,0.19
"LemonNation","OpTic Gaming","Support",18,"28%","44%",8,49,93,2.1,"65.6%","5.2%","24.7%","28%",41,-7,-0.3,1.6,"5.0%",147,"8.9%",118,"10.7%",1.32,0.36
"Licorice","Cloud9","Top",20,"60%","65%",57,49,83,2.9,"62.8%","25.6%","23.4%","20%",107,97,4.6,9.2,"26.1%",536,"25.5%",280,"23.2%",0.69,0.22
"Lira","Clutch Gaming","Jungle",20,"55%","55%",22,34,96,3.5,"69.0%","12.9%","22.7%","20%",-267,-102,0.4,5.4,"13.9%",173,"10.4%",190,"16.6%",1.17,0.48
"Lourlo","Golden Guardians","Top",18,"22%","50%",34,29,69,3.6,"66.0%","21.8%","13.2%","6%",-157,-88,-1.2,8.9,"26.0%",407,"22.6%",249,"23.7%",0.55,0.16
"Matt Elento","Golden Guardians","Support",18,"22%","50%",12,46,110,2.7,"78.2%","7.7%","21.0%","22%",-13,-92,-3.7,1.7,"5.1%",135,"7.8%",112,"10.0%",1.42,0.27
"Meteos","100 Thieves","Jungle",19,"68%","47%",24,30,122,4.9,"76.0%","12.5%","19.4%","63%",83,55,0.2,4.9,"12.6%",156,"8.5%",189,"16.3%",1.21,0.47
"MikeYeung","TSM","Jungle",20,"65%","45%",27,38,132,4.2,"72.6%","12.3%","24.7%","50%",48,-16,0.2,4.9,"12.0%",181,"8.7%",194,"15.6%",1.19,0.35
"Mithy","TSM","Support",20,"65%","25%",13,35,138,4.3,"68.9%","5.9%","22.7%","35%",-32,-101,4.4,1.9,"5.5%",121,"6.0%",135,"10.7%",1.61,0.28
"Olleh","Team Liquid","Support",20,"60%","35%",13,37,124,3.7,"72.1%","6.8%","22.3%","25%",-9,5,1.8,1.9,"5.4%",142,"8.0%",133,"10.8%",1.56,0.43
"PapaChau","Echo Fox","Support",3,"33%","67%",2,9,22,2.7,"77.4%","6.5%","25.0%","33%",-115,-321,-8,1.1,"3.3%",216,"9.3%",94,"8.2%",1.16,0.2
"Pobelter","Team Liquid","Middle",20,"60%","45%",56,37,87,3.9,"75.3%","29.5%","22.3%","30%",-2,-44,0.4,10.7,"28.5%",515,"29.0%",307,"25.5%",0.58,0.37
"PowerOfEvil","OpTic Gaming","Middle",18,"28%","56%",67,32,58,3.9,"81.2%","43.5%","16.2%","44%",21,-93,-3.8,10.1,"31.2%",571,"33.2%",289,"27.3%",0.63,0.24
"Reignover","Counter Logic Gaming","Jungle",18,"39%","56%",18,43,120,3.2,"73.4%","9.6%","20.3%","61%",105,159,1.7,4.8,"12.9%",193,"9.4%",173,"15.8%",1.07,0.4
"Ryu","100 Thieves","Middle",19,"68%","53%",43,32,89,4.1,"68.8%","22.4%","20.6%","21%",5,-53,-2.9,9.3,"26.3%",494,"27.1%",269,"23.4%",0.66,0.35
"Shrimp","FlyQuest","Jungle",2,"0%","50%",1,10,5,0.6,"60.0%","10.0%","30.3%","0%",-307,-219,-4.5,4.5,"11.2%",150,"8.1%",135,"14.8%",1.32,0.54
"Smoothie","Cloud9","Support",20,"60%","50%",12,46,157,3.7,"75.8%","5.4%","22.0%","30%",73,87,0.4,1.3,"3.4%",116,"5.7%",121,"9.7%",1.37,0.28
"Sneaky","Cloud9","ADC",20,"60%","60%",52,37,105,4.2,"70.4%","23.3%","17.7%","15%",102,55,2,10.3,"29.2%",645,"30.5%",305,"25.1%",0.38,0.49
"Solo","Clutch Gaming","Top",20,"55%","50%",28,35,69,2.8,"56.7%","16.4%","23.3%","10%",-187,-190,-5.9,8.9,"25.3%",461,"26.4%",266,"22.6%",0.62,0.17
"Ssumday","100 Thieves","Top",19,"68%","42%",37,33,93,3.9,"67.7%","19.3%","21.3%","42%",-148,-26,-1.9,8.6,"25.8%",381,"21.6%",254,"22.4%",0.63,0.29
"Stixxay","Counter Logic Gaming","ADC",18,"39%","33%",73,40,66,3.5,"73.9%","38.8%","18.9%","22%",119,19,4.7,10.1,"30.7%",701,"31.8%",298,"26.7%",0.44,0.47
"Stunt","FlyQuest","Support",16,"38%","63%",10,45,110,2.7,"82.2%","6.8%","23.2%","13%",53,167,-3.3,1.8,"5.8%",157,"8.8%",129,"11.3%",1.28,0.31
"Svenskeren","Cloud9","Jungle",20,"60%","40%",33,53,135,3.2,"75.3%","14.8%","25.4%","40%",153,132,3.1,5.3,"13.0%",217,"10.4%",204,"16.9%",1.35,0.44
"WildTurtle","FlyQuest","ADC",18,"33%","56%",58,37,64,3.3,"78.2%","37.2%","17.1%","17%",-84,-131,-3.3,10.4,"31.5%",595,"30.8%",300,"27.4%",0.39,0.34
"Xmithie","Team Liquid","Jungle",20,"60%","50%",23,35,116,4,"73.2%","12.1%","21.1%","55%",-34,-29,0.3,5.8,"14.8%",192,"10.6%",203,"17.0%",1.27,0.46
"zig","OpTic Gaming","Top",12,"25%","50%",9,35,37,1.3,"43.8%","8.6%","26.3%","25%",-318,-263,-9.8,6.9,"19.1%",302,"18.0%",195,"18.3%",0.67,0.18
"Zven","TSM","ADC",20,"65%","60%",58,18,101,8.8,"72.6%","26.5%","11.7%","20%",92,44,1.9,10.1,"28.1%",596,"28.4%",312,"25.1%",0.44,0.43
